    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6728e+00  1.7366e+00  6.6242e-03 -1.4542e-01 -1.2187e-03  4.6366e-02  3.1788e-02 -6.2971e-01  6.4604e-01  1.1044e-01  2.0052e+00  2.4804e+00  1.5075e-02  1.1707e-02  2.6993e-02  9.9275e-03 -1.7530e-02  2.9561e-03  2.8195e-02  1.5385e+00  1.3624e+00  8.2663e-01  8.5469e-01  5.9123e-01  6.4015e-01  5.4698e-02  1.4555e-01  2.4989e-01  3.6211e-01  8.8045e-01
  6.1000e+00  1.6758e+00  1.7382e+00  5.7098e-03 -1.1491e-01  4.3121e-03  3.8689e-02  2.4253e-02 -6.3221e-01  5.1501e-01  1.0251e-01  2.0051e+00  2.4801e+00  1.1255e-02  8.5592e-03  2.2448e-02  7.5146e-03 -1.9281e-02  1.1255e-03  2.5720e-02  1.5388e+00  1.3623e+00  6.6704e-01  6.8845e-01  4.7275e-01  5.1428e-01  4.3285e-02  1.1459e-01  1.9735e-01  3.4961e-01  8.8027e-01
  6.2000e+00  1.6762e+00  1.7385e+00  5.0888e-03 -1.0875e-01  9.3850e-03  3.9974e-02  2.1705e-02 -5.5950e-01  4.9890e-01  1.1469e-01  2.0049e+00  2.4796e+00  6.9713e-03  4.9129e-03  2.1959e-02  7.4153e-03 -1.7073e-02  9.0173e-04  2.8383e-02  1.5388e+00  1.3622e+00  6.3949e-01  6.5666e-01  4.5485e-01  5.0168e-01  4.9800e-02  1.2625e-01  2.0745e-01  3.4264e-01  8.8097e-01
  6.3000e+00  1.6734e+00  1.7379e+00  4.3134e-03 -1.3376e-01  2.1201e-02  5.6948e-02  5.2218e-03 -8.0824e-01  6.0568e-01  1.6940e-01  2.0046e+00  2.4790e+00 -7.1694e-04  8.9003e-04  2.4217e-02  1.1776e-02 -1.2404e-02  3.6627e-03  3.6915e-02  1.5391e+00  1.3620e+00  7.8929e-01  7.8546e-01  5.7216e-01  6.3452e-01  8.3847e-02  2.0142e-01  3.0498e-01  3.8507e-01  8.8272e-01
  6.4000e+00  1.6658e+00  1.7371e+00  2.1835e-03 -1.5182e-01  1.5013e-01  1.1420e-01  2.9691e-02 -2.4459e+00  1.0131e+00  3.7752e-01  2.0049e+00  2.4813e+00  2.7027e-02  5.7897e-02  9.6082e-02  4.4597e-02  3.8596e-02 -1.6176e-02  1.0558e-01  1.5719e+00  1.3636e+00  1.2017e+00  1.1786e+00  9.4513e-01  1.0436e+00  4.4799e-01  1.0203e+00  1.0465e+00  5.7558e-01  8.9067e-01
  6.5000e+00  1.6636e+00  1.7384e+00 -3.4038e-03 -1.3482e-01  2.7142e-01  1.1530e-01  6.0559e-02 -3.6322e+00  1.2260e+00  3.6583e-01  2.0040e+00  2.4824e+00  3.7360e-02  7.5112e-02  1.2898e-01  2.3118e-02  5.3218e-02 -5.7258e-02  1.8139e-01  1.6162e+00  1.3639e+00  1.3262e+00  1.3477e+00  1.0959e+00  1.2253e+00  5.9205e-01  1.2937e+00  1.2858e+00  6.6437e-01  8.9877e-01
  6.6000e+00  1.6641e+00  1.7373e+00  3.0309e-03 -9.0135e-02  2.8745e-01  1.0950e-01  5.2749e-02 -4.4970e+00  1.0455e+00  3.9151e-01  2.0055e+00  2.4859e+00  9.0501e-02  1.2532e-01  1.8447e-01  3.0185e-02  9.8148e-02  2.1540e-02  1.7541e-01  1.5977e+00  1.3665e+00  1.2963e+00  1.2422e+00  1.0517e+00  1.1214e+00  6.8298e-01  1.5535e+00  1.4705e+00  8.6630e-01  8.9946e-01
  6.7000e+00  1.6641e+00  1.7377e+00  3.3693e-02 -3.9100e-02  3.5543e-01  1.3275e-01  2.5096e-01 -3.5197e+00  9.4916e-01  8.6291e-01  2.0144e+00  2.5037e+00  3.1986e-01  4.2073e-01  5.1827e-01  3.3975e-01  2.9574e-01  1.9806e-01  5.2489e-01  1.5716e+00  1.3817e+00  1.3397e+00  1.1903e+00  1.0786e+00  1.0956e+00  1.1758e+00  2.8556e+00  2.4332e+00  9.2258e-01  9.0365e-01
  6.8000e+00  1.6646e+00  1.7395e+00  8.9633e-02  9.3897e-02  5.3559e-01  1.9951e-01  6.1657e-01 -3.1027e+00  7.5382e-01  1.7856e+00  2.0313e+00  2.5376e+00  7.3153e-01  9.5668e-01  1.0871e+00  8.2718e-01  6.1415e-01  4.8276e-01  1.1520e+00  1.5552e+00  1.4051e+00  1.3800e+00  1.0379e+00  1.0894e+00  1.0276e+00  1.6368e+00  4.0856e+00  3.2985e+00  1.2036e+00  9.1463e-01
  6.9000e+00  1.6609e+00  1.7369e+00  1.6092e-01  2.3419e-02  6.6067e-01  2.8347e-01  1.0071e+00 -9.6833e-01  6.9543e-01  2.4207e+00  2.0553e+00  2.5805e+00  1.1763e+00  1.4384e+00  1.6610e+00  1.3851e+00  8.6206e-01  7.4072e-01  1.9681e+00  1.5649e+00  1.4387e+00  1.5701e+00  1.0969e+00  1.2093e+00  1.0558e+00  1.7443e+00  4.4582e+00  3.5200e+00  8.0604e-01  9.1212e-01
