    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6759e+00  1.7386e+00  6.9879e-03 -1.1473e-01  3.1319e-02  3.7576e-02  3.8197e-02 -4.1417e-01  5.3229e-01  1.2152e-01  2.0052e+00  2.4804e+00  1.2457e-02  1.3628e-02  3.5315e-02  1.4395e-02 -1.1565e-02  6.5545e-03  2.9588e-02  1.5379e+00  1.3623e+00  6.6131e-01  6.8611e-01  4.7623e-01  5.2363e-01  5.4712e-02  1.4092e-01  2.1986e-01  3.5906e-01  8.8056e-01
  6.1000e+00  1.6787e+00  1.7399e+00  6.0625e-03 -8.5695e-02  2.9367e-02  2.9486e-02  2.9501e-02 -3.3147e-01  4.0625e-01  1.0466e-01  2.0051e+00  2.4801e+00  9.9349e-03  1.0897e-02  2.8196e-02  1.1172e-02 -1.0787e-02  5.4227e-03  2.4060e-02  1.5378e+00  1.3622e+00  5.1248e-01  5.3163e-01  3.6528e-01  4.0205e-01  4.0409e-02  1.0415e-01  1.6357e-01  3.4015e-01  8.8074e-01
  6.2000e+00  1.6786e+00  1.7396e+00  6.1048e-03 -8.6019e-02  2.7474e-02  2.9262e-02  2.7168e-02 -4.3784e-01  3.9801e-01  1.0668e-01  2.0050e+00  2.4799e+00  9.1459e-03  9.7078e-03  2.8290e-02  1.1421e-02 -8.9379e-03  5.5335e-03  2.1778e-02  1.5378e+00  1.3622e+00  5.1574e-01  5.2717e-01  3.6405e-01  3.9883e-01  4.0665e-02  1.0387e-01  1.6365e-01  3.3901e-01  8.8097e-01
  6.3000e+00  1.6745e+00  1.7316e+00  7.2386e-03 -1.0579e-01  2.0328e-02  4.2061e-02 -2.1216e-02 -1.5334e+00  3.7380e-01  1.4875e-01  2.0052e+00  2.4797e+00  1.2022e-02  7.9953e-03  3.4187e-02  3.8747e-02 -3.2015e-03  1.3947e-02 -6.6653e-02  1.5381e+00  1.3612e+00  7.2285e-01  5.8850e-01  4.5110e-01  4.5214e-01  5.2250e-02  1.2844e-01  2.0195e-01  4.2567e-01  8.8051e-01
  6.4000e+00  1.6677e+00  1.7265e+00  1.2015e-02 -1.8642e-01  8.4629e-03  7.4062e-02 -1.2923e-01 -3.0159e+00  5.3236e-01  2.7494e-01  2.0052e+00  2.4792e+00  5.3699e-03  5.9130e-04  5.0799e-02  3.8912e-03  8.7293e-04  1.8611e-03 -1.1660e-01  1.5403e+00  1.3610e+00  1.1143e+00  9.0115e-01  6.6180e-01  7.1533e-01  1.0229e-01  2.4432e-01  3.7085e-01  7.6447e-01  8.8277e-01
  6.5000e+00  1.6635e+00  1.7323e+00  2.1200e-03 -2.2773e-01  1.8813e-01  1.1988e-01 -1.1713e-01 -4.7214e+00  9.1762e-01  2.9258e-01  2.0048e+00  2.4799e+00 -1.6676e-02  6.6086e-03  8.7147e-02 -5.6347e-02 -5.9685e-03  9.9807e-03  2.8628e-03  1.5697e+00  1.3620e+00  1.3408e+00  1.2349e+00  9.5541e-01  1.0525e+00  2.5894e-01  5.8859e-01  7.1684e-01  8.7802e-01  8.8981e-01
  6.6000e+00  1.6623e+00  1.7371e+00  6.2484e-03 -1.9330e-01  3.4925e-01  1.2933e-01 -3.1792e-02 -5.4402e+00  1.1364e+00  4.1088e-01  2.0061e+00  2.4850e+00  3.7336e-02  8.6428e-02  2.0312e-01 -1.5619e-02  4.6781e-02  5.2117e-02  1.8743e-01  1.5763e+00  1.3671e+00  1.4691e+00  1.3600e+00  1.1266e+00  1.2272e+00  5.8399e-01  1.3333e+00  1.3275e+00  9.8015e-01  8.9868e-01
  6.7000e+00  1.6626e+00  1.7356e+00  2.7016e-02 -1.6490e-01  3.2229e-01  1.2781e-01  6.8044e-02 -4.6450e+00  9.5969e-01  7.9246e-01  2.0149e+00  2.5045e+00  2.8108e-01  3.3872e-01  5.4307e-01  2.3893e-01  1.6469e-01  1.6357e-01  6.6439e-01  1.5798e+00  1.4076e+00  1.4901e+00  1.2556e+00  1.0853e+00  1.1122e+00  1.1480e+00  2.8528e+00  2.5476e+00  1.0079e+00  8.9953e-01
  6.8000e+00  1.6563e+00  1.7320e+00  5.3422e-02 -1.9004e-01  3.7527e-01  1.7511e-01  4.1742e-01 -1.9378e+00  1.2213e+00  1.4379e+00  2.0264e+00  2.5335e+00  6.1515e-01  7.0621e-01  1.0352e+00  6.8727e-01  4.4483e-01  3.3678e-01  1.3365e+00  1.6001e+00  1.4675e+00  1.7094e+00  1.5006e+00  1.2725e+00  1.3206e+00  1.5705e+00  3.9841e+00  3.4142e+00  7.8322e-01  9.0329e-01
  6.9000e+00  1.6450e+00  1.7266e+00  9.6146e-02 -3.0185e-01  4.5363e-01  2.6263e-01  7.2096e-01 -2.1974e-01  1.6311e+00  2.1618e+00  2.0425e+00  2.5712e+00  1.0394e+00  1.1169e+00  1.5720e+00  1.1248e+00  6.8697e-01  4.7399e-01  2.1160e+00  1.6400e+00  1.5457e+00  2.1969e+00  1.9426e+00  1.6610e+00  1.6879e+00  1.6946e+00  4.4365e+00  3.7532e+00  6.5530e-01  9.0632e-01
  7.0000e+00  1.6260e+00  1.7188e+00  1.0747e-01 -5.0668e-01  4.6593e-01  3.3126e-01  8.1517e-01  6.2536e-01  2.4143e+00  2.2849e+00  2.0453e+00  2.5740e+00  1.0341e+00  1.1376e+00  1.5957e+00  1.1601e+00  6.9252e-01  4.8897e-01  2.1615e+00  1.6364e+00  1.5387e+00  3.1392e+00  2.9091e+00  2.4019e+00  2.4756e+00  1.6701e+00  4.3623e+00  3.6757e+00  6.0421e-01  9.1330e-01
  7.1000e+00  1.6014e+00  1.7107e+00  1.3411e-01 -7.4675e-01  5.7015e-01  4.3071e-01  9.6520e-01  1.0277e+00  3.3392e+00  2.5702e+00  2.0503e+00  2.5785e+00  1.0479e+00  1.2158e+00  1.6995e+00  1.2471e+00  7.2881e-01  5.9468e-01  2.2856e+00  1.6089e+00  1.4977e+00  4.4008e+00  4.1619e+00  3.4262e+00  3.5416e+00  1.6592e+00  4.2962e+00  3.6164e+00  6.7147e-01  9.2659e-01
  7.2000e+00  1.5924e+00  1.7080e+00  1.4061e-01 -8.4662e-01  6.1506e-01  4.5179e-01  9.4070e-01  9.1900e-01  3.7430e+00  2.3669e+00  2.0459e+00  2.5667e+00  9.0799e-01  1.0989e+00  1.5547e+00  1.1365e+00  6.6144e-01  5.8887e-01  2.0595e+00  1.5844e+00  1.4585e+00  4.9244e+00  4.7094e+00  3.8707e+00  3.9964e+00  1.5595e+00  4.0200e+00  3.4250e+00  6.9773e-01  9.3516e-01
  7.3000e+00  1.5847e+00  1.7083e+00  1.5281e-01 -7.3632e-01  8.8061e-01  4.8903e-01  1.2889e+00  8.7915e-01  4.1787e+00  2.5451e+00  2.0404e+00  2.5661e+00  9.7374e-01  1.1762e+00  1.6371e+00  1.1613e+00  7.1790e-01  6.2173e-01  1.8624e+00  1.5699e+00  1.4366e+00  5.3407e+00  5.1625e+00  4.2854e+00  4.4507e+00  1.6094e+00  4.0657e+00  3.4528e+00  8.4209e-01  9.6681e-01
  7.4000e+00  1.5763e+00  1.7029e+00  1.0777e-01 -8.3582e-01  7.6419e-01  4.5021e-01  1.0845e+00  5.3687e-01  4.6209e+00  1.9582e+00  2.0224e+00  2.5363e+00  6.6134e-01  8.3882e-01  1.2226e+00  8.1360e-01  5.4037e-01  4.4086e-01  1.2621e+00  1.5593e+00  1.4126e+00  5.7246e+00  5.6638e+00  4.5899e+00  4.8166e+00  1.4357e+00  3.5860e+00  3.1908e+00  9.1082e-01  9.7371e-01
  7.5000e+00  1.5752e+00  1.7032e+00  1.3079e-01 -6.2198e-01  8.7771e-01  4.8696e-01  1.3820e+00  6.8115e-01  4.5835e+00  2.3227e+00  2.0249e+00  2.5434e+00  7.9762e-01  9.9391e-01  1.3402e+00  9.2290e-01  6.3521e-01  5.0536e-01  1.2324e+00  1.5548e+00  1.4080e+00  5.7793e+00  5.6048e+00  4.6270e+00  4.8225e+00  1.5223e+00  3.8118e+00  3.3036e+00  9.6966e-01  9.9311e-01
  7.6000e+00  1.5694e+00  1.6998e+00  1.4627e-01 -6.4758e-01  8.3877e-01  4.7580e-01  1.4115e+00  7.5544e-01  4.6993e+00  2.3551e+00  2.0276e+00  2.5457e+00  8.4185e-01  1.0137e+00  1.3476e+00  9.6169e-01  6.4349e-01  5.2386e-01  1.2018e+00  1.5527e+00  1.4043e+00  6.0901e+00  5.8574e+00  4.8615e+00  4.9899e+00  1.4787e+00  3.7285e+00  3.2506e+00  9.9989e-01  9.9554e-01
  7.7000e+00  1.5660e+00  1.6994e+00  1.5982e-01 -6.1699e-01  8.1604e-01  4.6450e-01  1.4955e+00  1.1056e+00  4.7823e+00  2.6203e+00  2.0333e+00  2.5519e+00  9.7030e-01  1.1027e+00  1.4165e+00  1.0714e+00  6.9044e-01  5.5905e-01  1.1567e+00  1.5533e+00  1.4052e+00  6.3826e+00  6.0847e+00  5.1037e+00  5.1296e+00  1.3813e+00  3.6138e+00  3.2161e+00  1.0329e+00  9.9910e-01
  7.8000e+00  1.5526e+00  1.6899e+00  1.6643e-01 -8.5774e-01  6.5742e-01  4.0103e-01  1.3742e+00  9.3470e-01  5.1740e+00  2.3821e+00  2.0305e+00  2.5503e+00  9.8039e-01  1.0352e+00  1.3775e+00  1.0366e+00  6.3588e-01  5.1129e-01  1.1627e+00  1.5616e+00  1.4170e+00  6.9561e+00  6.7142e+00  5.5261e+00  5.5368e+00  1.2548e+00  3.4145e+00  3.2084e+00  1.2053e+00  9.9807e-01
  7.9000e+00  1.5447e+00  1.6858e+00  1.6918e-01 -8.7742e-01  6.2093e-01  3.6239e-01  1.4540e+00  9.2846e-01  5.4097e+00  2.3566e+00  2.0298e+00  2.5488e+00  9.7427e-01  1.0233e+00  1.3694e+00  1.0389e+00  6.3547e-01  5.2174e-01  1.0689e+00  1.5556e+00  1.4068e+00  7.3376e+00  7.1159e+00  5.8163e+00  5.8110e+00  1.2662e+00  3.3656e+00  3.1396e+00  1.4667e+00  1.0086e+00
  8.0000e+00  1.5363e+00  1.6807e+00  1.6221e-01 -9.0451e-01  5.7788e-01  3.2124e-01  1.5027e+00  8.7956e-01  5.6831e+00  2.3472e+00  2.0278e+00  2.5494e+00  1.0131e+00  1.0231e+00  1.3725e+00  1.0348e+00  6.3081e-01  4.9784e-01  1.0469e+00  1.5620e+00  1.4164e+00  7.6765e+00  7.4798e+00  6.0788e+00  6.0676e+00  1.2430e+00  3.3549e+00  3.1773e+00  1.8821e+00  1.0186e+00
