    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6741e+00  1.7375e+00  6.9184e-03 -1.3210e-01  1.9528e-02  4.3280e-02  3.7419e-02 -4.8119e-01  6.0540e-01  1.2069e-01  2.0052e+00  2.4805e+00  1.4210e-02  1.3421e-02  3.2917e-02  1.2969e-02 -1.5334e-02  5.8805e-03  2.9707e-02  1.5379e+00  1.3624e+00  7.5779e-01  7.8431e-01  5.4628e-01  5.9637e-01  5.8314e-02  1.5181e-01  2.4491e-01  3.6173e-01  8.8096e-01
  6.1000e+00  1.6769e+00  1.7389e+00  6.1861e-03 -1.0388e-01  1.9351e-02  3.5568e-02  3.0102e-02 -4.9545e-01  4.8049e-01  1.0758e-01  2.0052e+00  2.4802e+00  1.1315e-02  1.0784e-02  2.7406e-02  1.0346e-02 -1.7376e-02  4.8976e-03  2.5408e-02  1.5379e+00  1.3623e+00  6.0984e-01  6.3113e-01  4.3495e-01  4.7601e-01  4.4509e-02  1.1621e-01  1.8975e-01  3.4694e-01  8.8055e-01
  6.2000e+00  1.6775e+00  1.7390e+00  5.9673e-03 -9.7768e-02  1.9219e-02  3.3634e-02  2.6696e-02 -6.1606e-01  4.4904e-01  1.0423e-01  2.0052e+00  2.4801e+00  1.0634e-02  1.0019e-02  2.5764e-02  9.9825e-03 -1.7500e-02  5.1105e-03  2.2850e-02  1.5378e+00  1.3622e+00  5.8118e-01  5.9651e-01  4.1234e-01  4.4887e-01  4.0849e-02  1.0676e-01  1.7593e-01  3.4383e-01  8.8061e-01
  6.3000e+00  1.6771e+00  1.7364e+00  7.0241e-03 -9.3120e-02  2.1478e-02  3.0993e-02 -2.1305e-02 -1.9007e+00  3.1678e-01  1.1653e-01  2.0053e+00  2.4800e+00  1.6027e-02  1.0460e-02  2.6894e-02  9.1284e-03 -1.0534e-02  1.5796e-02 -7.8928e-04  1.5379e+00  1.3612e+00  6.5189e-01  5.4845e-01  4.1294e-01  4.1155e-01  4.1625e-02  1.0654e-01  1.7416e-01  4.2030e-01  8.8167e-01
  6.4000e+00  1.6749e+00  1.7345e+00  1.2249e-02 -1.1367e-01  3.4316e-02  7.0836e-02 -9.6535e-02 -2.6583e+00  3.3650e-01  2.1852e-01  2.0051e+00  2.4795e+00  1.3595e-02  4.3754e-03  3.2165e-02 -2.2037e-02 -3.6252e-03  7.7276e-04 -9.9299e-02  1.5395e+00  1.3613e+00  8.1858e-01  6.3328e-01  5.0892e-01  5.0561e-01  6.7559e-02  1.6048e-01  2.4917e-01  6.6082e-01  8.8335e-01
  6.5000e+00  1.6644e+00  1.7344e+00 -4.2498e-03 -1.8030e-01  2.0182e-01  1.1434e-01 -4.3961e-02 -3.9977e+00  9.7474e-01  2.6287e-01  2.0040e+00  2.4803e+00  2.6110e-03  1.4642e-02  7.9031e-02 -4.5082e-02  1.0495e-02  1.7235e-02  7.4348e-02  1.5864e+00  1.3625e+00  1.2632e+00  1.2100e+00  9.4751e-01  1.0459e+00  3.0247e-01  6.7731e-01  7.8906e-01  7.2098e-01  8.9084e-01
  6.6000e+00  1.6647e+00  1.7372e+00  3.8865e-03 -1.6291e-01  2.7628e-01  1.2215e-01 -5.4671e-02 -4.7541e+00  1.0137e+00  3.9474e-01  2.0063e+00  2.4844e+00  4.9050e-02  8.8024e-02  1.6461e-01 -2.2496e-02  6.5324e-02  2.9122e-02  1.8445e-01  1.5823e+00  1.3660e+00  1.3414e+00  1.2409e+00  1.0164e+00  1.1069e+00  5.1991e-01  1.2135e+00  1.2092e+00  8.7394e-01  8.9617e-01
  6.7000e+00  1.6627e+00  1.7355e+00  2.8123e-02 -1.3459e-01  3.3697e-01  1.4378e-01  1.4333e-01 -4.1419e+00  9.6295e-01  8.5634e-01  2.0164e+00  2.5065e+00  3.2310e-01  3.9525e-01  5.6581e-01  3.1706e-01  2.4682e-01  2.0460e-01  7.2172e-01  1.5802e+00  1.3974e+00  1.4636e+00  1.2411e+00  1.0814e+00  1.1069e+00  1.1752e+00  2.9083e+00  2.5238e+00  8.3853e-01  8.9837e-01
  6.8000e+00  1.6602e+00  1.7340e+00  6.2486e-02 -1.2319e-01  4.1044e-01  1.8113e-01  4.4425e-01 -2.3675e+00  1.0179e+00  1.4598e+00  2.0297e+00  2.5355e+00  6.4979e-01  7.6927e-01  1.0426e+00  7.3828e-01  4.8142e-01  4.0292e-01  1.3727e+00  1.5844e+00  1.4416e+00  1.5666e+00  1.3041e+00  1.1662e+00  1.1665e+00  1.5785e+00  3.9655e+00  3.2879e+00  7.5798e-01  9.0262e-01
  6.9000e+00  1.6504e+00  1.7296e+00  1.1116e-01 -2.0158e-01  5.2683e-01  2.7129e-01  8.4283e-01 -1.2988e-01  1.3364e+00  2.2429e+00  2.0514e+00  2.5807e+00  1.1070e+00  1.2472e+00  1.6579e+00  1.2722e+00  7.7299e-01  6.1262e-01  2.2946e+00  1.6167e+00  1.5167e+00  1.9841e+00  1.6664e+00  1.5044e+00  1.4878e+00  1.7905e+00  4.5829e+00  3.7135e+00  5.8439e-01  9.0560e-01
  7.0000e+00  1.6338e+00  1.7234e+00  1.3464e-01 -3.5144e-01  5.8150e-01  3.4702e-01  9.9484e-01  6.4763e-01  2.0207e+00  2.4935e+00  2.0566e+00  2.5893e+00  1.1932e+00  1.3461e+00  1.7629e+00  1.3689e+00  8.1074e-01  6.5693e-01  2.4150e+00  1.6138e+00  1.5129e+00  2.8202e+00  2.4914e+00  2.1730e+00  2.1777e+00  1.7448e+00  4.4967e+00  3.6521e+00  5.5302e-01  9.1398e-01
  7.1000e+00  1.6082e+00  1.7143e+00  1.5250e-01 -6.0563e-01  6.2661e-01  4.4408e-01  1.0523e+00  1.0442e+00  2.9875e+00  2.5864e+00  2.0572e+00  2.5853e+00  1.1231e+00  1.3284e+00  1.7369e+00  1.3536e+00  7.9055e-01  6.9495e-01  2.3480e+00  1.5895e+00  1.4738e+00  4.1308e+00  3.8001e+00  3.2271e+00  3.2760e+00  1.6728e+00  4.3154e+00  3.5403e+00  5.9486e-01  9.2642e-01
  7.2000e+00  1.5953e+00  1.7118e+00  1.4358e-01 -6.7491e-01  6.9423e-01  4.5211e-01  1.0429e+00  9.1436e-01  3.6880e+00  2.3546e+00  2.0441e+00  2.5630e+00  9.3542e-01  1.1272e+00  1.4929e+00  1.1418e+00  6.8458e-01  6.0899e-01  1.8370e+00  1.5673e+00  1.4336e+00  4.8258e+00  4.5946e+00  3.8563e+00  3.9668e+00  1.5663e+00  3.9943e+00  3.3648e+00  7.2248e-01  9.4387e-01
  7.3000e+00  1.5859e+00  1.7099e+00  1.2433e-01 -7.0138e-01  7.7043e-01  4.1816e-01  1.0379e+00  6.8744e-01  4.2406e+00  2.0349e+00  2.0330e+00  2.5468e+00  7.9651e-01  9.3257e-01  1.2836e+00  9.4916e-01  5.8277e-01  5.1489e-01  1.4446e+00  1.5572e+00  1.4129e+00  5.2848e+00  5.1443e+00  4.3178e+00  4.4642e+00  1.4847e+00  3.6990e+00  3.2122e+00  9.0448e-01  9.5841e-01
  7.4000e+00  1.5765e+00  1.7050e+00  9.9098e-02 -7.7641e-01  7.4409e-01  4.0549e-01  9.9706e-01  4.8182e-01  4.6882e+00  1.7429e+00  2.0215e+00  2.5307e+00  6.4400e-01  7.5787e-01  1.0778e+00  7.4947e-01  4.9046e-01  4.0870e-01  1.0939e+00  1.5513e+00  1.3991e+00  5.7253e+00  5.6708e+00  4.6817e+00  4.8685e+00  1.3971e+00  3.4218e+00  3.0808e+00  9.7874e-01  9.7086e-01
  7.5000e+00  1.5676e+00  1.6997e+00  9.4313e-02 -8.3952e-01  7.0971e-01  4.0014e-01  1.0218e+00  4.0903e-01  4.9976e+00  1.6393e+00  2.0165e+00  2.5245e+00  5.9907e-01  7.0313e-01  1.0051e+00  6.7881e-01  4.6284e-01  3.6997e-01  9.2401e-01  1.5477e+00  1.3917e+00  6.1498e+00  6.1167e+00  5.0064e+00  5.1883e+00  1.3499e+00  3.2820e+00  3.0204e+00  1.0308e+00  9.8114e-01
