log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
9.6	2.4882e-01	3.8469e-01	1.6584e-01	1.0401e-01	1.9492e-02	-1.0715e-02	2.1437e-01	9.6776e+00	8.1297e+00	1.0513e+01
9.7	2.3234e-01	3.6040e-01	1.6174e-01	9.9566e-02	9.9760e-03	1.0339e-02	2.4156e-01	9.4155e+00	8.4332e+00	1.1484e+01
9.8	2.2741e-01	3.5860e-01	1.5575e-01	9.1654e-02	9.1059e-03	2.1110e-02	2.4543e-01	8.4236e+00	8.3175e+00	1.1931e+01
9.9	2.3638e-01	3.6599e-01	1.6391e-01	1.1128e-01	-3.6363e-03	1.8895e-02	2.5527e-01	7.8690e+00	8.4483e+00	1.2881e+01
10.0	2.2928e-01	3.5977e-01	1.5675e-01	9.5190e-02	-1.2987e-03	2.6704e-02	2.4625e-01	5.7535e+00	7.7244e+00	1.3303e+01
10.1	2.2884e-01	3.5899e-01	1.5621e-01	9.3845e-02	-4.8068e-03	2.9114e-02	2.3800e-01	3.6224e+00	6.2530e+00	1.3001e+01
10.2	2.2768e-01	3.5641e-01	1.5537e-01	8.9492e-02	-6.2914e-03	3.3043e-02	2.3272e-01	1.9216e+00	4.2667e+00	1.2022e+01
10.3	2.3069e-01	3.6508e-01	1.5508e-01	9.9993e-02	-8.5104e-03	2.3951e-02	2.2671e-01	1.5177e+00	3.4848e+00	1.1433e+01
10.4	2.2594e-01	3.5359e-01	1.5332e-01	8.2579e-02	-6.2926e-03	3.4240e-02	2.2245e-01	6.2104e-01	1.3754e+00	7.7660e+00
10.5	2.3389e-01	3.7348e-01	1.5457e-01	1.0896e-01	-1.1746e-02	2.1140e-02	2.2201e-01	5.9029e-01	1.1871e+00	8.0318e+00
10.6	2.0857e+00	9.9146e-01	8.8628e-01	4.9267e+00	-1.1317e+00	-7.1353e-01	-8.0334e-01	2.4228e+00	2.5701e+00	-9.7097e-01
10.7	1.1615e+00	-5.1700e-01	1.2682e+00	9.9060e-01	-8.1785e-01	-1.1087e-01	-2.8519e-02	2.3441e+00	1.8048e+00	-2.3075e+00
10.8	1.2612e+00	1.6851e+00	9.4531e-01	-8.3907e-02	-1.3268e-01	6.6406e-02	4.1027e-01	2.0512e+00	1.4310e+00	4.7621e-01
10.9	1.1168e+00	6.8706e-01	1.4038e+00	1.3267e+00	4.7138e-01	1.0904e+00	4.7358e+00	1.0860e+00	1.4019e+00	5.1315e+00
11.0	3.8446e+00	3.9141e+00	2.7498e-01	2.8520e+00	-1.8370e-01	1.2587e+00	8.2763e+00	4.5930e+00	-7.6496e-01	4.1145e+00
