    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6726e+00  1.7359e+00  5.7576e-03 -1.5057e-01 -3.2029e-02  4.8885e-02  1.7621e-02 -5.8053e-01  6.2619e-01  9.3581e-02  2.0052e+00  2.4801e+00  1.3929e-02  8.0179e-03  1.5729e-02  5.0606e-03 -1.8196e-02  2.7589e-03  2.3056e-02  1.5378e+00  1.3622e+00  8.4349e-01  8.6795e-01  5.8893e-01  6.2989e-01  3.6764e-02  1.0481e-01  2.1030e-01  3.5718e-01  8.7915e-01
  6.1000e+00  1.6746e+00  1.7370e+00  5.4181e-03 -1.3012e-01 -2.5101e-02  4.2910e-02  1.5943e-02 -8.6614e-01  5.4505e-01  8.8584e-02  2.0053e+00  2.4801e+00  1.2396e-02  7.3297e-03  1.4574e-02  4.5943e-03 -2.0809e-02  2.6663e-03  2.1030e-02  1.5377e+00  1.3622e+00  7.3931e-01  7.6098e-01  5.1345e-01  5.4966e-01  3.1333e-02  8.9704e-02  1.8124e-01  3.5237e-01  8.7880e-01
  6.2000e+00  1.6761e+00  1.7381e+00  5.0858e-03 -1.1166e-01 -1.3284e-02  3.9503e-02  1.4471e-02 -7.1294e-01  4.9579e-01  8.8567e-02  2.0052e+00  2.4799e+00  1.0347e-02  6.2354e-03  1.3795e-02  4.1663e-03 -2.1485e-02  2.5771e-03  2.0209e-02  1.5377e+00  1.3622e+00  6.6167e-01  6.8090e-01  4.6422e-01  4.9916e-01  3.7890e-02  9.8343e-02  1.7886e-01  3.4477e-01  8.7931e-01
  6.3000e+00  1.6675e+00  1.7416e+00  4.5690e-04  3.0685e-01  3.3971e-01  1.1387e-01  5.5089e-01 -2.1561e-01  1.2322e+00  9.3531e-01  2.0083e+00  2.4925e+00  1.7391e-01  3.7361e-01  2.8925e-01  2.5091e-01  2.4295e-01  1.0472e-01  9.8382e-02  1.5374e+00  1.3676e+00  1.0448e+00  9.5001e-01  9.2098e-01  1.0037e+00  1.1104e+00  2.7496e+00  2.2385e+00  4.0651e-01  9.1568e-01
  6.4000e+00  1.6719e+00  1.7454e+00 -2.4352e-03  4.9080e-01  4.7923e-01  1.6881e-01  7.3917e-01 -1.1081e+00  1.0418e+00  1.4176e+00  2.0142e+00  2.5016e+00  2.7362e-01  6.1200e-01  4.5140e-01  4.2381e-01  4.1623e-01  7.5301e-02  1.7582e-01  1.5538e+00  1.3722e+00  8.8796e-01  6.8411e-01  8.0638e-01  8.3034e-01  1.3074e+00  3.3618e+00  2.6583e+00  4.2468e-01  9.1989e-01
  6.5000e+00  1.6690e+00  1.7407e+00 -4.7953e-05  2.1794e-01  2.9437e-01  1.1144e-01  4.0514e-01 -2.8188e+00  9.7791e-01  8.3956e-01  2.0091e+00  2.4919e+00  1.6387e-01  3.4509e-01  2.7347e-01  2.2638e-01  2.4003e-01 -2.8568e-02  1.1936e-01  1.5785e+00  1.3678e+00  1.0187e+00  8.9142e-01  8.6228e-01  8.9072e-01  1.0434e+00  2.6131e+00  2.1330e+00  5.7032e-01  9.0847e-01
  6.6000e+00  1.6553e+00  1.7354e+00  7.5354e-03 -8.5425e-02  1.6104e-01  7.8455e-02  1.3343e-01 -2.6414e+00  1.5679e+00  3.7886e-01  2.0043e+00  2.4826e+00  6.4082e-02  9.4996e-02  1.2279e-01  5.8582e-02  7.7626e-02  1.0124e-02  5.9913e-02  1.5484e+00  1.3638e+00  1.7420e+00  1.7222e+00  1.4863e+00  1.5704e+00  7.7785e-01  1.7099e+00  1.6193e+00  7.7881e-01  9.0626e-01
  6.7000e+00  1.6385e+00  1.7330e+00  8.2616e-03 -7.1359e-02  3.0638e-01  7.2210e-02  3.4560e-01 -1.6943e+00  2.5583e+00  5.3554e-01  2.0029e+00  2.4860e+00  1.3472e-01  1.6221e-01  2.1978e-01  1.1028e-01  1.3304e-01  6.1482e-02  9.5484e-02  1.5401e+00  1.3653e+00  2.5640e+00  2.6192e+00  2.2949e+00  2.4530e+00  1.1379e+00  2.4446e+00  2.2650e+00  1.0008e+00  9.3023e-01
  6.8000e+00  1.6441e+00  1.7383e+00  2.8125e-02  2.4562e-01  5.4999e-01  1.4651e-01  7.6178e-01 -1.4362e+00  2.2693e+00  1.3806e+00  2.0120e+00  2.5041e+00  3.5588e-01  6.2088e-01  5.5682e-01  4.3711e-01  4.3714e-01  2.0480e-01  2.5265e-01  1.5403e+00  1.3755e+00  2.3529e+00  2.2556e+00  2.1385e+00  2.2310e+00  1.4524e+00  3.5366e+00  2.9188e+00  1.1188e+00  9.4696e-01
  6.9000e+00  1.6446e+00  1.7368e+00  4.4424e-02  1.9899e-01  5.2558e-01  1.7128e-01  7.9128e-01 -1.0400e+00  2.1452e+00  1.4712e+00  2.0145e+00  2.5085e+00  4.1742e-01  7.0510e-01  6.3723e-01  5.1812e-01  4.8076e-01  2.4361e-01  3.2633e-01  1.5400e+00  1.3785e+00  2.3568e+00  2.2332e+00  2.0817e+00  2.1437e+00  1.3796e+00  3.4325e+00  2.8229e+00  9.6156e-01  9.4326e-01
