log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	8.8855e-01	5.2472e-01	2.7547e-01	2.2972e-01	2.2369e-01	9.9706e-02	8.2832e-01	1.1608e-01	7.8865e-02	2.4274e+00
6.1	1.0464e+00	5.2206e-01	2.7395e-01	2.4964e-01	2.1092e-01	1.0535e-01	8.8418e-01	1.0626e-01	7.5008e-02	2.3098e+00
6.2	1.1362e+00	5.5747e-01	2.8195e-01	2.8612e-01	2.3430e-01	1.0315e-01	1.1763e+00	1.1410e-01	6.0092e-02	2.2061e+00
6.3	9.5917e-01	7.0325e-01	3.6513e-01	3.0179e-01	3.1202e-01	1.6359e-01	2.1761e+00	3.4395e-01	1.4319e-01	2.0152e+00
6.4	8.0817e-01	7.7575e-01	4.0370e-01	3.0373e-01	3.5387e-01	2.0835e-01	2.6179e+00	4.6721e-01	1.8204e-01	2.0081e+00
6.5	7.1068e-01	6.7958e-01	3.9551e-01	2.7501e-01	3.6916e-01	2.0309e-01	2.5045e+00	4.8183e-01	1.8234e-01	1.9275e+00
6.6	5.8896e-01	5.6560e-01	4.4560e-01	2.2630e-01	3.6065e-01	2.1958e-01	2.3852e+00	6.0171e-01	2.7266e-01	1.5907e+00
6.7	4.1221e-01	4.8589e-01	4.8579e-01	2.1766e-01	4.1369e-01	3.2707e-01	3.1104e+00	7.6182e-01	2.8883e-01	1.5674e+00
6.8	2.8889e-01	4.3605e-01	5.6193e-01	2.4401e-01	4.3617e-01	4.6432e-01	4.2077e+00	9.7846e-01	3.5813e-01	1.4929e+00
6.9	2.0972e-01	4.1657e-01	6.8815e-01	2.6424e-01	3.8144e-01	5.4140e-01	4.6986e+00	1.1372e+00	4.6133e-01	1.4473e+00
7.0	2.1030e-01	6.0353e-01	8.2628e-01	2.8379e-01	2.8884e-01	5.2363e-01	4.0122e+00	1.1429e+00	5.9240e-01	1.5778e+00
7.1	2.5118e-01	1.0419e+00	9.3935e-01	3.2326e-01	2.2327e-01	4.8951e-01	3.2658e+00	1.1316e+00	7.6315e-01	1.7581e+00
7.2	3.4386e-01	1.4000e+00	9.4262e-01	3.5790e-01	1.8300e-01	4.6447e-01	2.5229e+00	1.0673e+00	9.0268e-01	2.1158e+00
7.3	4.4985e-01	1.4526e+00	7.4260e-01	2.6492e-01	1.7021e-01	3.7507e-01	1.7393e+00	1.0175e+00	8.6768e-01	2.0083e+00
7.4	4.7249e-01	1.4666e+00	3.7026e-01	-4.2930e-02	1.9697e-01	2.2120e-01	1.0798e+00	1.0771e+00	6.7772e-01	1.5299e+00
7.5	5.1533e-01	1.3129e+00	3.3626e-01	-6.0899e-02	1.8220e-01	1.6254e-01	8.4961e-01	1.1433e+00	6.6731e-01	1.1723e+00
7.6	5.5354e-01	1.1575e+00	3.5764e-01	-1.2922e-02	1.5815e-01	1.3064e-01	7.5525e-01	1.1626e+00	6.6661e-01	9.4461e-01
7.7	5.9279e-01	1.0369e+00	3.7548e-01	4.2011e-02	1.2909e-01	1.0074e-01	6.5055e-01	1.1506e+00	6.5611e-01	7.7502e-01
7.8	6.3603e-01	9.3742e-01	3.9167e-01	9.8534e-02	1.0026e-01	6.9997e-02	5.2745e-01	1.1334e+00	6.4737e-01	5.9433e-01
7.9	6.6994e-01	8.5351e-01	4.0774e-01	1.4026e-01	7.5665e-02	3.6132e-02	3.9517e-01	1.1299e+00	6.2625e-01	3.6702e-01
8.0	7.0072e-01	7.3873e-01	4.5822e-01	2.0240e-01	3.6044e-02	-8.2781e-04	2.4933e-01	1.1488e+00	6.2885e-01	4.6396e-02
8.1	7.0987e-01	6.0314e-01	5.2325e-01	2.4798e-01	-3.2614e-03	-2.2458e-02	1.5563e-01	1.1651e+00	6.2177e-01	-2.3610e-01
8.2	6.9302e-01	4.5145e-01	6.0450e-01	2.9808e-01	-5.3836e-02	-4.3139e-02	4.9603e-02	1.1905e+00	6.3256e-01	-5.4469e-01
8.3	6.8052e-01	3.3504e-01	6.9043e-01	3.6415e-01	-1.1057e-01	-6.8462e-02	-3.3001e-02	1.2318e+00	6.5407e-01	-8.2752e-01
8.4	6.5902e-01	2.2892e-01	7.8308e-01	4.3558e-01	-1.7691e-01	-1.0638e-01	-1.3440e-01	1.2812e+00	6.8626e-01	-1.1270e+00
8.5	6.4713e-01	2.4141e-01	8.4892e-01	5.2954e-01	-2.4570e-01	-1.4999e-01	-1.9650e-01	1.3237e+00	7.3138e-01	-1.2825e+00
8.6	6.6721e-01	3.5147e-01	8.7608e-01	6.3988e-01	-3.0326e-01	-1.9524e-01	-2.4345e-01	1.3674e+00	7.7228e-01	-1.3694e+00
8.7	7.3041e-01	6.4649e-01	8.7765e-01	8.2630e-01	-3.5729e-01	-2.5053e-01	-2.6807e-01	1.4281e+00	8.2540e-01	-1.3611e+00
8.8	8.4794e-01	1.1163e+00	8.5685e-01	1.1241e+00	-4.1528e-01	-3.2314e-01	-2.9010e-01	1.5038e+00	8.7406e-01	-1.4475e+00
8.9	1.0715e+00	1.9353e+00	7.9449e-01	1.6087e+00	-4.5871e-01	-4.2701e-01	-3.2344e-01	1.5934e+00	9.4144e-01	-1.5113e+00
9.0	1.4793e+00	3.3092e+00	6.9082e-01	2.4361e+00	-5.1715e-01	-6.3388e-01	-4.8502e-01	1.7163e+00	1.0413e+00	-1.6173e+00
9.1	2.0253e+00	4.9777e+00	5.7036e-01	3.3473e+00	-6.0238e-01	-1.1054e+00	-1.1969e+00	1.8646e+00	1.1434e+00	-1.7047e+00
9.2	2.3332e+00	5.7615e+00	5.4886e-01	3.8050e+00	-7.1431e-01	-1.8727e+00	-2.7591e+00	1.9992e+00	1.2321e+00	-1.8449e+00
9.3	2.0384e+00	4.7526e+00	6.5562e-01	3.4517e+00	-7.7550e-01	-2.6376e+00	-4.6707e+00	2.0807e+00	1.3608e+00	-1.8560e+00
9.4	1.6903e+00	3.8797e+00	6.7299e-01	2.8752e+00	-6.5755e-01	-2.5324e+00	-4.5540e+00	2.0708e+00	1.6308e+00	-1.5040e+00
9.5	1.4169e+00	3.1884e+00	6.7214e-01	2.3940e+00	-5.2872e-01	-1.6040e+00	-2.6212e+00	2.0039e+00	1.9893e+00	-8.5632e-01
9.6	1.3685e+00	3.2099e+00	5.9692e-01	2.2133e+00	-4.0490e-01	-1.0896e+00	-1.4473e+00	2.1426e+00	2.4488e+00	-5.2308e-02
9.7	1.4747e+00	3.6126e+00	5.3392e-01	2.4894e+00	-4.9604e-01	-1.3991e+00	-2.1433e+00	2.7695e+00	3.0759e+00	8.2633e-01
9.8	1.0764e+00	2.5678e+00	5.0924e-01	1.7377e+00	-2.8288e-01	-8.5447e-01	-1.0090e+00	4.7432e+00	3.9767e+00	2.3707e+00
9.9	5.8879e-01	1.0694e+00	5.3032e-01	5.9841e-01	-1.6018e-03	-3.0377e-01	-4.3220e-02	6.8430e+00	4.7340e+00	3.4917e+00
10.0	3.7244e-01	6.8624e-01	2.7729e-01	1.7346e-01	4.9529e-02	-1.9510e-01	-1.0164e-01	9.8547e+00	5.5891e+00	4.4884e+00
10.1	7.1875e-01	1.3528e+00	5.6298e-01	1.0955e+00	-6.6486e-02	-1.4032e+00	-3.2704e+00	5.1842e+00	4.4501e+00	4.0348e+00
10.2	9.5269e-01	5.8238e-01	9.9691e-01	1.8645e+00	-5.5742e-01	-5.4420e-01	-9.9146e-01	2.3072e+00	2.3145e+00	8.7286e-01
