log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	1.7205e+00	1.0547e+00	4.4487e-01	5.1589e-01	4.5753e-01	3.3709e-01	1.7009e+00	2.0589e-01	1.4291e-01	2.1576e+00
6.1	1.8925e+00	1.1412e+00	4.5318e-01	6.2045e-01	4.9628e-01	3.5852e-01	2.6338e+00	2.6086e-01	9.9198e-02	1.9842e+00
6.2	1.7849e+00	1.3673e+00	4.9861e-01	6.7332e-01	5.7265e-01	3.3880e-01	3.5224e+00	4.5093e-01	1.3386e-01	1.8546e+00
6.3	1.4284e+00	1.7217e+00	6.3275e-01	6.4782e-01	6.2496e-01	4.1712e-01	4.1180e+00	8.3313e-01	3.4712e-01	1.7508e+00
6.4	1.1628e+00	1.9515e+00	7.2790e-01	5.7836e-01	6.3580e-01	4.9187e-01	4.0075e+00	1.0282e+00	4.7501e-01	1.8620e+00
6.5	9.9555e-01	1.6947e+00	6.5528e-01	5.7115e-01	7.0943e-01	5.8555e-01	4.5329e+00	1.0392e+00	3.9967e-01	1.6909e+00
6.6	7.9242e-01	1.5456e+00	6.4676e-01	5.2585e-01	7.6735e-01	6.9048e-01	5.3765e+00	1.2966e+00	4.7737e-01	1.4190e+00
6.7	5.3957e-01	1.4528e+00	7.2095e-01	5.3725e-01	8.2852e-01	8.1749e-01	6.4731e+00	1.5509e+00	6.2551e-01	1.2629e+00
6.8	3.6355e-01	1.6138e+00	8.9307e-01	5.7875e-01	8.0244e-01	8.9787e-01	6.8620e+00	1.7102e+00	8.1898e-01	1.3869e+00
6.9	2.6130e-01	2.4534e+00	1.1086e+00	6.5497e-01	7.0798e-01	9.1265e-01	6.7430e+00	1.7630e+00	9.9127e-01	2.0518e+00
7.0	3.5095e-01	3.2363e+00	1.2107e+00	7.1080e-01	5.8747e-01	8.5572e-01	6.0331e+00	1.7479e+00	1.1578e+00	2.7014e+00
7.1	5.2391e-01	3.5104e+00	1.2447e+00	7.8716e-01	4.7953e-01	8.1262e-01	5.0406e+00	1.6870e+00	1.3168e+00	3.3779e+00
7.2	6.9438e-01	3.1408e+00	1.0511e+00	4.9230e-01	3.1809e-01	6.5553e-01	3.3171e+00	1.6160e+00	1.3177e+00	3.1912e+00
7.3	7.9182e-01	2.6062e+00	5.9829e-01	-2.6656e-01	1.7483e-01	3.2735e-01	1.5280e+00	1.6537e+00	1.0875e+00	2.0320e+00
7.4	8.6269e-01	2.5413e+00	5.4335e-01	-3.3199e-01	1.8199e-01	2.6435e-01	1.2504e+00	1.6698e+00	1.0424e+00	2.0883e+00
7.5	9.5450e-01	2.3108e+00	5.7983e-01	-2.5888e-01	1.6249e-01	2.0868e-01	1.0610e+00	1.6865e+00	1.0643e+00	1.8232e+00
7.6	1.0371e+00	2.0288e+00	6.4091e-01	-1.5133e-01	1.2165e-01	1.5411e-01	8.7368e-01	1.6855e+00	1.0825e+00	1.4643e+00
7.7	1.0882e+00	1.7376e+00	7.0625e-01	-4.2370e-02	6.7027e-02	1.0570e-01	6.9737e-01	1.6829e+00	1.0926e+00	1.0575e+00
7.8	1.1028e+00	1.4219e+00	7.6862e-01	6.4064e-02	4.6919e-03	6.0212e-02	5.2050e-01	1.6795e+00	1.0971e+00	5.9707e-01
7.9	1.0951e+00	1.1345e+00	8.2010e-01	1.2554e-01	-6.7134e-02	1.1637e-02	3.3260e-01	1.7094e+00	1.0964e+00	1.2421e-01
8.0	1.0714e+00	8.4365e-01	8.8095e-01	2.0818e-01	-1.3094e-01	-2.1907e-02	2.2785e-01	1.7373e+00	1.1168e+00	-3.2901e-01
8.1	1.0341e+00	5.4943e-01	9.4036e-01	2.9138e-01	-2.0827e-01	-5.8843e-02	1.2666e-01	1.7711e+00	1.1468e+00	-7.7805e-01
8.2	9.8229e-01	2.3138e-01	1.0114e+00	3.8014e-01	-3.0414e-01	-1.0426e-01	3.3516e-03	1.8130e+00	1.1963e+00	-1.2365e+00
8.3	9.4961e-01	2.1852e-02	1.0673e+00	5.1642e-01	-3.9939e-01	-1.4317e-01	-4.5323e-02	1.8587e+00	1.2378e+00	-1.6013e+00
