    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6748e+00  1.7396e+00  3.9701e-03 -1.0590e-01  1.1659e-01  3.2775e-02  1.1000e-01 -2.4897e-01  6.8752e-01  1.9381e-01  2.0042e+00  2.4814e+00  1.2769e-03  2.7421e-02  7.7271e-02  3.0831e-02  4.9212e-03  2.2166e-02  4.6506e-02  1.5381e+00  1.3627e+00  6.9227e-01  7.6859e-01  5.3406e-01  6.3642e-01  2.1496e-01  4.5912e-01  5.0821e-01  3.8877e-01  8.8608e-01
  6.1000e+00  1.6792e+00  1.7404e+00  6.5594e-03 -8.3975e-02  4.8527e-02  2.6459e-02  3.7812e-02 -3.0375e-01  4.0011e-01  1.1845e-01  2.0052e+00  2.4804e+00  8.4196e-03  1.3843e-02  3.8880e-02  1.6652e-02 -4.4744e-03  7.4721e-03  2.8209e-02  1.5379e+00  1.3624e+00  4.8378e-01  5.0746e-01  3.4796e-01  3.8963e-01  4.8224e-02  1.2065e-01  1.7667e-01  3.4234e-01  8.8093e-01
  6.2000e+00  1.6786e+00  1.7400e+00  6.7310e-03 -8.9972e-02  4.9586e-02  2.7930e-02  3.7808e-02 -2.4140e-01  4.2104e-01  1.2244e-01  2.0052e+00  2.4804e+00  8.4550e-03  1.4102e-02  4.0384e-02  1.7763e-02 -2.6007e-03  7.7930e-03  2.7513e-02  1.5379e+00  1.3623e+00  5.1222e-01  5.3479e-01  3.6870e-01  4.1187e-01  5.0317e-02  1.2615e-01  1.8574e-01  3.4422e-01  8.8130e-01
  6.3000e+00  1.6765e+00  1.7302e+00  7.0843e-03 -9.3098e-02  4.1035e-02  3.6619e-02 -6.3306e-02 -1.6511e+00  2.5131e-01  1.4449e-01  2.0060e+00  2.4809e+00  1.7885e-02  1.6230e-02  4.4117e-02  6.1525e-02  8.5428e-03  1.9297e-02 -1.9442e-01  1.5379e+00  1.3614e+00  6.0410e-01  4.9041e-01  3.3844e-01  3.7536e-01  5.2501e-02  1.3047e-01  1.9094e-01  4.8556e-01  8.8036e-01
  6.4000e+00  1.6662e+00  1.7179e+00  1.0370e-02 -2.2833e-01 -3.4369e-02  5.3467e-02 -1.4952e-01 -3.0888e+00  5.1884e-01  3.0179e-01  2.0066e+00  2.4808e+00  9.2697e-03  1.8988e-02  8.4247e-02  1.1318e-01  2.8535e-02  2.3998e-02 -3.5872e-01  1.5385e+00  1.3610e+00  1.0566e+00  9.7671e-01  5.4475e-01  7.4615e-01  1.4561e-01  3.4329e-01  4.5697e-01  8.2111e-01  8.8102e-01
  6.5000e+00  1.6603e+00  1.7240e+00  1.6343e-02 -2.9453e-01  1.0467e-01  1.0295e-01 -2.8960e-01 -6.5863e+00  7.4515e-01  3.1134e-01  2.0070e+00  2.4806e+00 -1.7168e-02 -7.0310e-03  1.1231e-01 -8.9938e-02 -2.3422e-01 -3.6105e-02 -2.5854e-01  1.5530e+00  1.3612e+00  1.5193e+00  1.2942e+00  9.3299e-01  1.0537e+00  1.6700e-01  4.6743e-01  6.3576e-01  1.3741e+00  8.8898e-01
  6.6000e+00  1.6533e+00  1.7339e+00  1.7598e-02 -3.2440e-01  3.8274e-01  1.1358e-01 -6.2318e-03 -5.3145e+00  1.4867e+00  5.4902e-01  2.0070e+00  2.4874e+00  4.5611e-03  6.8284e-02  2.9280e-01  1.4284e-02 -1.2784e-01  4.0283e-02  2.0147e-01  1.5621e+00  1.3712e+00  1.9160e+00  1.8128e+00  1.4525e+00  1.6087e+00  6.9227e-01  1.5948e+00  1.6590e+00  1.2756e+00  9.0217e-01
  6.7000e+00  1.6512e+00  1.7307e+00  3.2079e-02 -3.7216e-01  3.1458e-01  1.3276e-01  6.7899e-02 -3.9580e+00  1.4755e+00  8.4045e-01  2.0105e+00  2.4997e+00  2.2678e-01  2.6995e-01  5.4500e-01  2.1494e-01 -6.6456e-02  8.4244e-02  5.6493e-01  1.5816e+00  1.4128e+00  1.9372e+00  1.8314e+00  1.4419e+00  1.5575e+00  9.3717e-01  2.5644e+00  2.7365e+00  1.0512e+00  8.9981e-01
  6.8000e+00  1.6394e+00  1.7244e+00  4.2397e-02 -5.2020e-01  1.9759e-01  1.6607e-01  2.2701e-01 -1.3964e+00  2.0132e+00  1.2261e+00  2.0122e+00  2.5076e+00  3.6442e-01  4.0544e-01  7.1140e-01  3.9153e-01  1.8665e-01  1.3381e-01  8.0209e-01  1.5869e+00  1.4349e+00  2.4436e+00  2.4809e+00  1.8288e+00  2.0316e+00  1.0151e+00  2.8682e+00  3.0532e+00  8.3848e-01  9.0110e-01
  6.9000e+00  1.6197e+00  1.7155e+00  5.2344e-02 -7.6437e-01  1.3656e-01  2.2310e-01  3.4647e-01  1.8294e-01  2.8243e+00  1.5383e+00  2.0144e+00  2.5154e+00  4.3774e-01  5.0234e-01  8.6496e-01  5.1592e-01  3.0388e-01  1.4795e-01  1.0028e+00  1.5994e+00  1.4611e+00  3.3444e+00  3.4903e+00  2.5290e+00  2.8214e+00  1.1210e+00  3.1608e+00  3.2482e+00  7.6789e-01  9.0673e-01
  7.0000e+00  1.6051e+00  1.7106e+00  6.5904e-02 -9.3560e-01  2.4137e-01  2.8045e-01  4.3641e-01  5.6435e-01  3.4771e+00  1.7232e+00  2.0178e+00  2.5230e+00  4.7143e-01  5.8105e-01  9.9235e-01  6.0232e-01  3.4813e-01  1.6824e-01  1.1383e+00  1.6099e+00  1.4764e+00  4.0881e+00  4.2378e+00  3.1424e+00  3.4623e+00  1.2654e+00  3.4531e+00  3.3701e+00  7.9651e-01  9.1489e-01
  7.1000e+00  1.5968e+00  1.7091e+00  8.9870e-02 -9.9181e-01  4.6924e-01  3.3725e-01  5.7708e-01  6.6824e-01  3.8961e+00  1.9172e+00  2.0215e+00  2.5336e+00  5.7188e-01  6.9991e-01  1.1522e+00  7.1331e-01  4.1066e-01  2.1632e-01  1.2894e+00  1.6174e+00  1.4896e+00  4.5594e+00  4.6331e+00  3.5734e+00  3.8668e+00  1.3509e+00  3.6487e+00  3.4550e+00  8.4948e-01  9.2549e-01
  7.2000e+00  1.5888e+00  1.7070e+00  1.1300e-01 -1.0339e+00  6.6933e-01  3.8561e-01  7.2984e-01  6.8277e-01  4.2059e+00  2.0617e+00  2.0257e+00  2.5428e+00  6.5082e-01  7.9799e-01  1.2944e+00  8.2021e-01  4.7089e-01  3.0607e-01  1.4838e+00  1.6109e+00  1.4835e+00  5.0152e+00  4.9920e+00  3.9753e+00  4.2234e+00  1.4064e+00  3.7306e+00  3.4506e+00  8.9652e-01  9.3529e-01
  7.3000e+00  1.5812e+00  1.7036e+00  1.0682e-01 -1.0924e+00  7.3899e-01  3.8550e-01  7.1377e-01  4.1427e-01  4.5056e+00  1.7825e+00  2.0204e+00  2.5318e+00  5.0798e-01  6.5749e-01  1.1275e+00  7.0399e-01  4.0182e-01  2.9247e-01  1.2587e+00  1.5899e+00  1.4507e+00  5.4253e+00  5.3924e+00  4.3239e+00  4.5685e+00  1.3084e+00  3.4170e+00  3.2333e+00  9.6532e-01  9.4277e-01
