log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	1.3811e+00	8.0799e-01	3.8707e-01	3.9911e-01	3.3100e-01	1.7861e-01	1.1107e+00	1.7495e-01	1.1398e-01	2.3258e+00
6.1	1.5542e+00	8.3121e-01	3.8642e-01	4.5202e-01	3.3947e-01	2.0468e-01	1.5727e+00	1.7473e-01	9.4311e-02	2.1726e+00
6.2	1.5362e+00	9.4192e-01	4.1195e-01	4.9928e-01	4.0569e-01	2.0165e-01	2.4181e+00	2.7123e-01	8.6741e-02	2.0126e+00
6.3	1.2522e+00	1.2942e+00	5.3974e-01	5.0534e-01	4.7819e-01	2.8369e-01	3.2873e+00	6.1468e-01	2.6354e-01	1.9068e+00
6.4	1.0277e+00	1.4509e+00	6.0012e-01	4.7239e-01	5.0505e-01	3.5045e-01	3.3904e+00	7.8113e-01	3.4081e-01	1.9751e+00
6.5	8.8550e-01	1.1930e+00	5.5340e-01	4.4314e-01	5.5520e-01	3.9268e-01	3.6900e+00	7.8468e-01	2.7417e-01	1.7828e+00
6.6	7.2135e-01	1.0020e+00	5.7771e-01	4.0102e-01	5.8409e-01	4.6570e-01	4.0875e+00	9.7599e-01	3.5204e-01	1.6119e+00
6.7	5.2340e-01	8.1000e-01	6.5349e-01	3.7917e-01	6.2076e-01	6.0847e-01	5.1425e+00	1.3018e+00	4.9724e-01	1.3486e+00
6.8	3.4233e-01	8.5492e-01	7.5252e-01	4.2140e-01	6.3615e-01	7.3753e-01	5.9385e+00	1.4628e+00	6.1241e-01	1.4324e+00
6.9	2.3045e-01	1.2354e+00	9.4979e-01	4.6754e-01	5.5479e-01	7.7544e-01	5.8392e+00	1.5350e+00	7.6453e-01	1.7112e+00
7.0	2.6199e-01	1.7214e+00	1.1068e+00	5.1302e-01	4.3123e-01	7.3628e-01	5.1534e+00	1.5168e+00	9.3949e-01	2.1660e+00
7.1	4.0251e-01	2.2272e+00	1.1815e+00	5.7528e-01	3.5542e-01	6.9834e-01	4.4214e+00	1.4979e+00	1.1450e+00	2.5950e+00
7.2	5.4175e-01	2.5136e+00	1.0567e+00	4.9088e-01	2.6284e-01	6.0377e-01	3.1348e+00	1.4072e+00	1.2229e+00	2.7743e+00
7.3	6.4076e-01	2.2079e+00	6.2734e-01	-1.7432e-02	1.9618e-01	3.4980e-01	1.7062e+00	1.4146e+00	1.0064e+00	1.9703e+00
7.4	6.8986e-01	2.0661e+00	4.4077e-01	-2.2712e-01	1.9099e-01	2.4073e-01	1.1806e+00	1.4431e+00	8.9270e-01	1.8001e+00
7.5	7.6462e-01	1.8789e+00	4.6015e-01	-1.7139e-01	1.6988e-01	1.9959e-01	1.0224e+00	1.4712e+00	9.0876e-01	1.5634e+00
7.6	8.3633e-01	1.6850e+00	4.9769e-01	-8.5991e-02	1.4291e-01	1.5213e-01	8.6406e-01	1.4638e+00	9.1247e-01	1.3104e+00
7.7	8.8972e-01	1.4933e+00	5.3680e-01	-7.5730e-03	1.1169e-01	1.0564e-01	7.1376e-01	1.4416e+00	8.9583e-01	1.0399e+00
7.8	9.2833e-01	1.2940e+00	5.9235e-01	6.5440e-02	6.7932e-02	6.3045e-02	5.3727e-01	1.4350e+00	8.9951e-01	6.9659e-01
7.9	9.4346e-01	1.0812e+00	6.4676e-01	1.2593e-01	1.4721e-02	2.8600e-02	3.9228e-01	1.4542e+00	8.8661e-01	3.1496e-01
