    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6778e+00  1.7396e+00  6.7410e-03 -9.6464e-02  4.0759e-02  2.9012e-02  3.9983e-02 -3.2191e-01  4.5380e-01  1.1963e-01  2.0051e+00  2.4804e+00  1.0144e-02  1.3170e-02  3.8144e-02  1.5795e-02 -8.7357e-03  6.9747e-03  2.9099e-02  1.5379e+00  1.3624e+00  5.5457e-01  5.8014e-01  3.9861e-01  4.4404e-01  5.4964e-02  1.3694e-01  2.0309e-01  3.4974e-01  8.8117e-01
  6.1000e+00  1.6797e+00  1.7405e+00  6.1333e-03 -7.5705e-02  4.0216e-02  2.4860e-02  3.2710e-02 -2.8011e-01  3.6831e-01  1.0510e-01  2.0051e+00  2.4802e+00  9.2533e-03  1.1726e-02  3.1869e-02  1.3277e-02 -7.4609e-03  6.3908e-03  2.4000e-02  1.5378e+00  1.3623e+00  4.5582e-01  4.7526e-01  3.2592e-01  3.6182e-01  4.2423e-02  1.0654e-01  1.5920e-01  3.3518e-01  8.8129e-01
  6.2000e+00  1.6795e+00  1.7404e+00  6.2098e-03 -7.7904e-02  4.0560e-02  2.5484e-02  3.2470e-02 -3.1095e-01  3.7566e-01  1.0632e-01  2.0051e+00  2.4802e+00  9.3060e-03  1.1806e-02  3.2192e-02  1.3528e-02 -6.4226e-03  6.4915e-03  2.4042e-02  1.5378e+00  1.3623e+00  4.6616e-01  4.8493e-01  3.3346e-01  3.6955e-01  4.2518e-02  1.0720e-01  1.6108e-01  3.3512e-01  8.8138e-01
  6.3000e+00  1.6748e+00  1.7285e+00  7.2787e-03 -9.7807e-02  2.9700e-02  3.7458e-02 -5.5932e-02 -1.7558e+00  2.8234e-01  1.4819e-01  2.0057e+00  2.4803e+00  1.6955e-02  1.2581e-02  3.9397e-02  5.7265e-02  3.1321e-03  1.9231e-02 -1.6092e-01  1.5380e+00  1.3612e+00  6.9091e-01  5.1869e-01  3.9646e-01  3.9596e-01  5.1464e-02  1.2679e-01  1.9159e-01  4.7143e-01  8.8033e-01
  6.4000e+00  1.6659e+00  1.7211e+00  1.2385e-02 -2.2451e-01 -3.5820e-02  4.4330e-02 -1.5714e-01 -2.9367e+00  5.4534e-01  2.8362e-01  2.0060e+00  2.4796e+00  4.0657e-03  3.9912e-03  6.6112e-02  5.4797e-02  1.4917e-02  1.1299e-02 -1.8097e-01  1.5388e+00  1.3608e+00  1.1302e+00  9.6307e-01  6.1805e-01  7.3812e-01  1.0178e-01  2.4531e-01  3.7798e-01  8.1538e-01  8.8163e-01
  6.5000e+00  1.6598e+00  1.7281e+00  6.8807e-03 -2.7901e-01  1.4842e-01  1.1947e-01 -1.5792e-01 -5.4963e+00  9.4431e-01  3.3987e-01  2.0059e+00  2.4805e+00 -1.7117e-02  7.5566e-03  1.1364e-01 -6.3081e-02 -1.2235e-01 -1.3593e-02 -1.0357e-01  1.5583e+00  1.3620e+00  1.5156e+00  1.3629e+00  1.0211e+00  1.1306e+00  2.5355e-01  6.3101e-01  7.7793e-01  1.0752e+00  8.8969e-01
  6.6000e+00  1.6590e+00  1.7375e+00  1.3889e-02 -2.4900e-01  4.0832e-01  1.2257e-01  3.1155e-02 -5.0210e+00  1.3664e+00  5.1442e-01  2.0066e+00  2.4869e+00  1.9422e-02  8.5024e-02  2.6772e-01  2.7763e-02  7.8047e-03  5.8849e-02  2.3744e-01  1.5670e+00  1.3706e+00  1.6434e+00  1.5637e+00  1.2842e+00  1.4237e+00  6.9306e-01  1.5679e+00  1.5671e+00  1.0528e+00  9.0153e-01
  6.7000e+00  1.6537e+00  1.7317e+00  2.3616e-02 -3.2174e-01  2.7926e-01  1.2671e-01  9.7886e-03 -4.4543e+00  1.3595e+00  7.0249e-01  2.0103e+00  2.4955e+00  1.6442e-01  2.1457e-01  4.3213e-01  1.3031e-01 -1.3725e-04  8.2024e-02  4.6584e-01  1.5737e+00  1.3969e+00  1.8763e+00  1.7356e+00  1.3790e+00  1.4811e+00  9.0037e-01  2.3157e+00  2.3314e+00  1.0771e+00  8.9943e-01
  6.8000e+00  1.6485e+00  1.7284e+00  5.1999e-02 -3.4969e-01  2.9149e-01  1.7144e-01  3.2250e-01 -1.6764e+00  1.5896e+00  1.4050e+00  2.0197e+00  2.5241e+00  5.5084e-01  5.9888e-01  9.4964e-01  5.8070e-01  3.3908e-01  2.4206e-01  1.1636e+00  1.6027e+00  1.4668e+00  2.0438e+00  1.9329e+00  1.5259e+00  1.6310e+00  1.3543e+00  3.6034e+00  3.3824e+00  8.1726e-01  9.0156e-01
  6.9000e+00  1.6296e+00  1.7197e+00  6.8186e-02 -5.6351e-01  2.6387e-01  2.4240e-01  4.9296e-01  1.0820e-01  2.3671e+00  1.7911e+00  2.0243e+00  2.5372e+00  6.9569e-01  7.5005e-01  1.1577e+00  7.5853e-01  4.6205e-01  2.7023e-01  1.4406e+00  1.6213e+00  1.5036e+00  2.8881e+00  2.8567e+00  2.1874e+00  2.3669e+00  1.3995e+00  3.8010e+00  3.5275e+00  7.1110e-01  9.0681e-01
