    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6712e+00  1.7356e+00  7.3227e-03 -1.6196e-01 -6.5803e-03  5.1563e-02  3.7488e-02 -4.1220e-01  7.1323e-01  1.1960e-01  2.0050e+00  2.4805e+00  1.9029e-02  1.4546e-02  3.0628e-02  1.1651e-02 -1.5933e-02  5.0706e-03  3.0963e-02  1.5379e+00  1.3624e+00  9.1131e-01  9.4311e-01  6.5017e-01  7.0475e-01  6.1947e-02  1.6467e-01  2.7789e-01  3.6657e-01  8.8126e-01
  6.1000e+00  1.6743e+00  1.7372e+00  6.4315e-03 -1.3075e-01 -1.5897e-03  4.2659e-02  2.9492e-02 -5.2039e-01  5.7650e-01  1.0601e-01  2.0051e+00  2.4802e+00  1.4880e-02  1.1439e-02  2.5212e-02  9.2628e-03 -1.8838e-02  4.3445e-03  2.6338e-02  1.5378e+00  1.3623e+00  7.4776e-01  7.7257e-01  5.2954e-01  5.7380e-01  4.7077e-02  1.2616e-01  2.1748e-01  3.5400e-01  8.8082e-01
  6.2000e+00  1.6768e+00  1.7386e+00  5.7728e-03 -1.0433e-01  2.9024e-03  3.5040e-02  2.4246e-02 -4.5190e-01  4.6590e-01  9.5954e-02  2.0050e+00  2.4799e+00  1.2031e-02  9.0103e-03  2.1490e-02  7.4812e-03 -1.7450e-02  3.7264e-03  2.2790e-02  1.5378e+00  1.3622e+00  6.1174e-01  6.3137e-01  4.2992e-01  4.6673e-01  3.7971e-02  1.0098e-01  1.7409e-01  3.3893e-01  8.8119e-01
  6.3000e+00  1.6705e+00  1.7365e+00  4.2678e-03 -1.5950e-01  1.9669e-02  7.4643e-02  1.7802e-02 -6.7486e-01  7.3226e-01  2.0094e-01  2.0043e+00  2.4787e+00 -2.3886e-03 -9.4598e-04  2.7777e-02  2.3291e-02 -1.0292e-02  5.6533e-03  3.2452e-02  1.5383e+00  1.3619e+00  9.3084e-01  9.2422e-01  6.8171e-01  7.5481e-01  1.0109e-01  2.4192e-01  3.6480e-01  3.7091e-01  8.8340e-01
  6.4000e+00  1.6660e+00  1.7360e+00  7.1916e-05 -1.8525e-01  1.1520e-01  9.8297e-02 -3.8410e-02 -3.0778e+00  9.5359e-01  2.0686e-01  2.0040e+00  2.4794e+00  4.2360e-03  9.7007e-04  4.2988e-02 -4.1849e-03 -6.7337e-03 -8.1367e-02  1.1102e-01  1.5945e+00  1.3621e+00  1.1802e+00  1.1684e+00  9.1446e-01  9.9224e-01  2.0719e-01  4.4549e-01  5.9111e-01  5.6886e-01  8.8754e-01
  6.5000e+00  1.6601e+00  1.7379e+00 -5.9001e-03 -1.3955e-01  3.0305e-01  1.1396e-01  1.4248e-01 -2.6509e+00  1.5007e+00  3.9338e-01  2.0022e+00  2.4820e+00  3.0561e-02  7.3059e-02  1.3031e-01  7.5504e-03  3.9785e-02 -2.9054e-02  1.5251e-01  1.5915e+00  1.3631e+00  1.4724e+00  1.5632e+00  1.2320e+00  1.4272e+00  6.4352e-01  1.3702e+00  1.3786e+00  6.4834e-01  9.0554e-01
  6.6000e+00  1.6619e+00  1.7379e+00  5.7278e-03 -2.6376e-02  4.0383e-01  1.2803e-01  2.5034e-01 -4.1955e+00  1.2656e+00  6.4403e-01  2.0075e+00  2.4934e+00  1.9134e-01  2.7224e-01  3.3846e-01  1.5972e-01  1.9551e-01  1.0001e-01  3.1438e-01  1.5967e+00  1.3718e+00  1.3921e+00  1.3636e+00  1.1613e+00  1.2665e+00  1.0373e+00  2.4149e+00  2.1330e+00  8.4660e-01  9.0855e-01
  6.7000e+00  1.6627e+00  1.7413e+00  7.9857e-02  1.2733e-01  6.2431e-01  1.9845e-01  7.7954e-01 -1.9134e+00  1.1704e+00  1.8338e+00  2.0282e+00  2.5347e+00  7.2121e-01  9.5004e-01  1.0772e+00  8.4205e-01  6.0816e-01  4.6050e-01  1.0621e+00  1.5588e+00  1.4010e+00  1.4385e+00  1.2482e+00  1.2268e+00  1.2635e+00  1.6985e+00  4.1745e+00  3.3898e+00  9.5741e-01  9.2084e-01
  6.8000e+00  1.6698e+00  1.7503e+00  2.9796e-01  4.4838e-01  1.3299e+00  4.3053e-01  2.0799e+00  1.0692e+00  7.5233e-01  4.1499e+00  2.0839e+00  2.6424e+00  1.9790e+00  2.3393e+00  2.5477e+00  2.1663e+00  1.2616e+00  1.0654e+00  2.6928e+00  1.5664e+00  1.4553e+00  1.1914e+00  5.5034e-01  1.0516e+00  8.8993e-01  2.0568e+00  5.2167e+00  4.0557e+00  6.4829e-01  9.3707e-01
  6.9000e+00  1.6692e+00  1.7517e+00  4.7035e-01  4.6345e-01  1.6953e+00  5.8258e-01  2.6996e+00  2.4192e+00  5.5422e-01  5.1213e+00  2.1209e+00  2.7077e+00  2.6854e+00  2.9605e+00  3.2051e+00  2.7476e+00  1.4982e+00  1.2875e+00  3.4916e+00  1.5810e+00  1.4867e+00  1.3123e+00  2.9629e-01  1.1153e+00  7.3446e-01  2.0473e+00  5.2563e+00  4.0508e+00  3.8463e-01  9.3347e-01
