log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	8.6561e-01	5.2230e-01	2.7836e-01	2.2664e-01	2.2279e-01	1.0098e-01	8.1627e-01	1.1977e-01	8.0606e-02	2.4477e+00
6.1	1.0292e+00	5.0953e-01	2.7730e-01	2.4212e-01	2.0581e-01	1.1040e-01	8.7233e-01	1.1657e-01	7.9743e-02	2.3083e+00
6.2	1.1696e+00	5.4805e-01	2.8218e-01	2.8730e-01	2.2303e-01	1.0384e-01	1.0811e+00	1.0560e-01	6.0806e-02	2.2014e+00
6.3	8.5189e-01	7.3322e-01	3.9378e-01	2.9756e-01	3.3278e-01	1.9558e-01	2.5948e+00	3.9946e-01	1.5264e-01	2.0089e+00
6.4	7.9069e-01	8.3407e-01	4.2497e-01	3.0747e-01	3.4044e-01	2.1778e-01	2.3750e+00	4.6639e-01	2.0904e-01	2.0658e+00
6.5	6.8066e-01	6.4006e-01	4.2637e-01	2.5120e-01	3.6691e-01	1.9862e-01	2.5032e+00	5.5325e-01	2.3086e-01	1.7361e+00
6.6	5.9849e-01	4.1399e-01	5.0164e-01	1.8460e-01	3.0628e-01	1.9212e-01	2.1822e+00	7.3964e-01	3.7397e-01	1.0994e+00
6.7	3.9647e-01	3.5189e-01	4.8629e-01	1.5989e-01	3.4770e-01	3.0695e-01	3.0372e+00	8.3518e-01	2.9170e-01	1.4510e+00
6.8	2.2940e-01	2.9436e-01	5.6783e-01	1.7641e-01	3.6847e-01	4.6445e-01	4.5460e+00	1.1089e+00	3.1387e-01	1.5098e+00
6.9	1.6866e-01	2.9515e-01	7.2359e-01	2.1387e-01	3.1049e-01	5.5562e-01	5.0819e+00	1.3202e+00	4.8561e-01	1.2889e+00
7.0	1.7620e-01	4.7776e-01	8.8418e-01	2.4871e-01	2.2243e-01	5.3072e-01	4.1761e+00	1.2936e+00	6.4983e-01	1.3507e+00
7.1	2.5831e-01	9.3562e-01	9.9739e-01	2.9988e-01	1.6397e-01	4.6656e-01	3.0555e+00	1.2227e+00	8.2883e-01	1.4700e+00
7.2	3.6375e-01	1.3642e+00	9.9427e-01	3.6122e-01	1.5332e-01	4.4552e-01	2.3386e+00	1.1200e+00	9.5719e-01	1.8678e+00
