log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	8.4574e-02	1.5955e-01	7.4976e-02	3.1403e-03	3.8782e-02	5.5429e-02	4.3586e-01	7.5791e-02	5.7241e-02	2.7793e+00
6.1	8.5184e-02	1.5495e-01	7.2665e-02	2.3752e-03	3.7935e-02	5.4447e-02	4.3166e-01	7.4585e-02	5.6498e-02	2.6858e+00
6.2	8.6173e-02	1.5095e-01	7.0683e-02	1.8149e-03	3.7156e-02	5.3553e-02	4.2751e-01	7.3510e-02	5.5800e-02	2.5951e+00
6.3	8.7263e-02	1.4830e-01	6.7887e-02	4.6310e-03	3.8776e-02	5.3619e-02	4.2142e-01	6.1154e-02	5.4131e-02	2.4089e+00
6.4	8.0048e-02	1.6659e-01	6.4358e-02	2.2226e-02	4.3746e-02	5.3283e-02	4.4682e-01	6.9099e-02	4.8542e-02	2.0585e+00
6.5	9.9224e-02	1.4902e-01	6.2803e-02	2.0328e-02	3.6392e-02	4.5953e-02	4.1407e-01	1.0636e-01	4.5472e-02	1.8236e+00
6.6	7.6134e-02	1.4115e-01	6.2511e-02	1.1707e-02	3.6146e-02	4.4663e-02	3.9260e-01	1.0317e-01	4.1004e-02	1.6019e+00
6.7	7.3563e-02	1.5683e-01	6.7139e-02	1.2978e-02	3.7241e-02	4.6969e-02	4.4368e-01	9.5912e-02	4.1429e-02	1.6298e+00
6.8	7.4399e-02	1.6901e-01	7.3314e-02	1.5638e-02	3.8245e-02	4.8571e-02	4.8340e-01	9.0416e-02	4.2382e-02	1.6154e+00
6.9	7.4456e-02	1.7538e-01	7.6957e-02	1.8291e-02	3.7978e-02	4.9395e-02	4.9106e-01	8.8008e-02	4.2399e-02	1.5348e+00
7.0	7.2861e-02	1.7668e-01	7.9180e-02	1.9930e-02	3.6175e-02	5.0149e-02	4.7589e-01	8.5977e-02	4.4459e-02	1.4907e+00
7.1	7.2893e-02	1.8287e-01	8.3328e-02	2.1456e-02	3.4758e-02	5.1972e-02	4.2231e-01	8.8368e-02	4.6693e-02	1.3736e+00
7.2	7.8775e-02	1.9801e-01	8.9579e-02	2.2862e-02	3.5063e-02	5.3535e-02	3.5525e-01	9.0577e-02	4.3245e-02	1.1514e+00
7.3	7.7923e-02	1.9406e-01	8.5925e-02	2.2006e-02	3.4536e-02	5.0108e-02	2.7991e-01	8.7042e-02	3.8110e-02	9.7563e-01
7.4	7.7748e-02	2.0116e-01	8.6645e-02	2.1780e-02	3.4402e-02	4.7598e-02	2.3881e-01	8.2154e-02	3.7092e-02	8.9953e-01
7.5	7.7148e-02	2.0785e-01	8.7980e-02	2.2098e-02	3.5135e-02	4.6328e-02	2.0643e-01	8.3244e-02	3.8702e-02	8.6224e-01
7.6	7.6523e-02	2.0700e-01	8.3210e-02	2.2372e-02	3.6752e-02	4.5722e-02	1.8950e-01	9.1042e-02	3.9978e-02	8.4147e-01
7.7	8.0207e-02	2.0394e-01	6.5335e-02	2.2693e-02	4.1419e-02	4.5093e-02	1.8741e-01	1.1029e-01	3.5369e-02	7.5531e-01
7.8	7.9568e-02	1.9947e-01	5.7262e-02	2.3109e-02	3.9549e-02	4.0628e-02	1.7213e-01	1.2184e-01	3.3693e-02	6.7803e-01
7.9	7.8195e-02	1.9783e-01	5.1285e-02	2.3481e-02	3.5279e-02	3.5427e-02	1.5358e-01	1.3302e-01	3.3759e-02	6.2905e-01
8.0	7.7805e-02	2.0131e-01	4.4915e-02	2.4119e-02	3.0106e-02	2.9789e-02	1.3395e-01	1.4858e-01	3.4051e-02	5.8514e-01
8.1	7.9215e-02	2.1224e-01	3.7882e-02	2.5250e-02	2.3998e-02	2.3158e-02	1.1166e-01	1.6969e-01	3.4405e-02	5.4035e-01
8.2	8.3897e-02	2.3541e-01	3.0129e-02	2.6971e-02	1.6987e-02	1.5223e-02	8.5978e-02	1.9584e-01	3.4926e-02	4.9311e-01
8.3	9.4528e-02	2.7820e-01	2.3297e-02	2.9604e-02	9.3822e-03	6.0545e-03	5.7252e-02	2.2458e-01	3.5444e-02	4.4888e-01
8.4	1.1460e-01	3.6191e-01	1.5654e-02	3.2381e-02	1.4767e-03	-3.3899e-03	2.7672e-02	2.4495e-01	3.7548e-02	4.1966e-01
8.5	1.3913e-01	4.5743e-01	7.7145e-03	3.7360e-02	-8.8854e-03	-1.7161e-02	-1.4944e-02	2.7761e-01	3.8767e-02	3.6278e-01
8.6	1.7916e-01	6.2687e-01	-5.7785e-03	4.1395e-02	-1.9842e-02	-3.0623e-02	-5.7196e-02	2.9292e-01	4.4159e-02	3.3141e-01
8.7	2.4135e-01	9.0718e-01	-3.0851e-02	4.7673e-02	-3.9639e-02	-5.3638e-02	-1.3070e-01	3.0446e-01	5.8686e-02	2.9367e-01
8.8	2.8151e-01	1.0770e+00	-4.5331e-02	5.0735e-02	-4.8112e-02	-6.3962e-02	-1.6326e-01	3.0918e-01	6.4163e-02	2.6898e-01
8.9	3.5629e-01	1.4022e+00	-7.4531e-02	5.7324e-02	-7.1948e-02	-9.1823e-02	-2.5361e-01	3.1508e-01	8.0869e-02	2.2617e-01
9.0	4.0037e-01	1.5759e+00	-8.8424e-02	6.0287e-02	-7.8131e-02	-9.9850e-02	-2.7902e-01	3.2095e-01	8.4053e-02	2.1220e-01
9.1	4.9527e-01	1.9357e+00	-1.2002e-01	6.0217e-02	-9.1857e-02	-1.1670e-01	-3.3530e-01	3.0507e-01	9.1998e-02	2.0009e-01
9.2	6.3847e-01	2.4835e+00	-1.5869e-01	7.1443e-02	-1.2516e-01	-1.5875e-01	-4.7446e-01	3.0962e-01	1.0996e-01	1.3690e-01
9.3	9.9791e-01	3.8368e+00	-2.5429e-01	9.6970e-02	-2.1407e-01	-2.6813e-01	-8.3780e-01	3.1437e-01	1.5294e-01	1.0524e-02
9.4	1.3303e+00	5.0248e+00	-3.4421e-01	1.1621e-01	-2.8783e-01	-3.5699e-01	-1.1354e+00	3.1681e-01	1.8066e-01	-4.8576e-02
9.5	1.7031e+00	6.2310e+00	-4.3017e-01	1.3947e-01	-3.9243e-01	-4.9286e-01	-1.6013e+00	3.0157e-01	2.0393e-01	-1.4292e-01
9.6	1.5447e+00	5.6020e+00	-3.5518e-01	1.6399e-01	-4.4061e-01	-5.6695e-01	-1.8580e+00	2.6051e-01	2.0081e-01	-2.2555e-01
9.7	7.5501e-01	2.8553e+00	-1.2776e-01	1.5241e-01	-3.1061e-01	-3.8929e-01	-1.2251e+00	1.8421e-01	1.6822e-01	-3.0175e-01
9.8	2.6980e-01	9.9737e-01	8.0685e-04	1.0067e-01	-1.2769e-01	-1.5092e-01	-4.1733e-01	5.8999e-02	1.3163e-01	-3.3994e-01
9.9	1.4425e-01	4.7958e-01	1.5881e-02	6.3404e-02	-4.6294e-02	-6.5309e-02	-1.6214e-01	1.1925e-01	8.9370e-02	-1.8774e-01
10.0	8.8097e-02	2.3253e-01	2.6207e-02	4.3293e-02	-1.1616e-02	-2.4338e-02	-3.3022e-02	2.7832e-01	5.4298e-02	-1.3393e-03
10.1	7.1317e-02	1.9490e-01	2.5118e-02	3.5766e-02	-2.0350e-03	-9.2038e-03	1.3192e-02	4.3944e-01	4.5245e-02	2.0866e-01
10.2	5.6398e-02	1.4319e-01	3.2868e-02	2.7276e-02	1.4980e-02	1.4132e-02	8.3459e-02	5.5209e-01	4.1800e-02	3.7601e-01
10.3	5.8264e-02	1.4030e-01	4.3040e-02	2.4207e-02	2.5200e-02	2.7165e-02	1.2308e-01	4.6771e-01	4.6108e-02	6.3086e-01
10.4	7.3563e-02	1.6401e-01	6.4743e-02	2.6075e-02	3.5414e-02	3.8128e-02	1.6162e-01	2.8295e-01	4.5804e-02	7.8079e-01
10.5	8.1693e-02	1.7755e-01	8.0913e-02	2.6402e-02	4.2188e-02	4.7971e-02	1.9750e-01	2.5205e-01	5.5655e-02	1.0100e+00
10.6	8.0747e-02	1.7945e-01	1.1546e-01	2.6653e-02	2.9559e-02	4.3687e-02	1.7402e-01	2.3717e-01	7.4083e-02	1.1641e+00
10.7	4.8369e-01	5.5960e-01	9.7399e-02	2.9779e-01	2.9781e-02	7.5673e-02	8.4356e-01	3.3408e-01	6.1319e-02	1.8044e+00
10.8	5.8128e-01	5.5814e-01	8.4855e-02	3.3072e-01	3.6603e-02	6.6383e-02	1.1646e+00	4.9077e-01	8.6394e-02	2.5677e+00
10.9	7.7845e-02	1.5635e-01	8.0066e-02	2.6520e-02	2.7513e-02	3.4153e-02	2.5905e-01	3.9987e-01	4.7187e-01	4.4491e+00
11.0	3.6869e-01	8.8990e-01	-4.3712e-03	1.9203e-02	1.3151e-02	2.3131e-02	1.0184e-01	9.2637e-01	1.1918e+00	5.3661e+00
