    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6738e+00  1.7375e+00  7.8605e-03 -1.3500e-01  3.1544e-02  4.4135e-02  4.8082e-02 -3.2019e-01  6.2426e-01  1.3521e-01  2.0050e+00  2.4806e+00  1.6868e-02  1.8152e-02  4.2219e-02  1.7521e-02 -1.0379e-02  7.8346e-03  3.3830e-02  1.5380e+00  1.3624e+00  7.7081e-01  8.0046e-01  5.5605e-01  6.1139e-01  6.6676e-02  1.7197e-01  2.6234e-01  3.6799e-01  8.8142e-01
  6.1000e+00  1.6777e+00  1.7394e+00  6.4931e-03 -9.5716e-02  2.9519e-02  3.3072e-02  3.4665e-02 -2.7983e-01  4.5211e-01  1.1196e-01  2.0050e+00  2.4802e+00  1.2263e-02  1.3338e-02  3.1765e-02  1.2843e-02 -9.1305e-03  6.0983e-03  2.6322e-02  1.5378e+00  1.3623e+00  5.6760e-01  5.8861e-01  4.0541e-01  4.4593e-01  4.6142e-02  1.1932e-01  1.8401e-01  3.4333e-01  8.8137e-01
  6.2000e+00  1.6784e+00  1.7395e+00  6.1909e-03 -8.7122e-02  2.8554e-02  3.0271e-02  2.9696e-02 -3.0015e-01  4.0925e-01  1.0645e-01  2.0050e+00  2.4800e+00  1.1307e-02  1.1942e-02  2.9154e-02  1.2436e-02 -6.1420e-03  6.0618e-03  2.1477e-02  1.5378e+00  1.3622e+00  5.2676e-01  5.3995e-01  3.7311e-01  4.0768e-01  4.1264e-02  1.0657e-01  1.6563e-01  3.3763e-01  8.8149e-01
  6.3000e+00  1.6712e+00  1.7269e+00  8.2148e-03 -1.2660e-01  1.9983e-02  5.0627e-02 -3.9067e-02 -2.2806e+00  4.2123e-01  1.7198e-01  2.0052e+00  2.4800e+00  1.8206e-02  1.1877e-02  4.0222e-02  5.4718e-02 -1.6968e-03  2.0461e-02 -1.0501e-01  1.5382e+00  1.3608e+00  8.9692e-01  6.9135e-01  5.4977e-01  5.3290e-01  6.2039e-02  1.5361e-01  2.3872e-01  4.7461e-01  8.8056e-01
  6.4000e+00  1.6708e+00  1.7310e+00  1.1966e-02 -1.5852e-01  2.4136e-02  5.6657e-02 -1.1998e-01 -2.8222e+00  4.8707e-01  2.2089e-01  2.0054e+00  2.4797e+00  1.1310e-02  5.6836e-03  4.7196e-02 -2.4990e-02 -2.1481e-03 -1.1163e-03 -5.4360e-02  1.5407e+00  1.3614e+00  9.8496e-01  8.1289e-01  5.9917e-01  6.3962e-01  8.4804e-02  2.1026e-01  3.2043e-01  7.4960e-01  8.8394e-01
  6.5000e+00  1.6612e+00  1.7334e+00 -2.2555e-04 -2.2992e-01  2.2419e-01  1.2791e-01 -2.1756e-02 -3.9623e+00  1.1467e+00  3.9779e-01  2.0044e+00  2.4810e+00 -7.6594e-03  4.1305e-02  1.2515e-01 -2.6299e-02  1.8554e-02  2.7143e-02  6.0621e-02  1.5679e+00  1.3627e+00  1.4353e+00  1.4082e+00  1.0638e+00  1.2154e+00  4.0713e-01  9.1992e-01  1.0009e+00  8.2799e-01  8.9458e-01
  6.6000e+00  1.6620e+00  1.7387e+00  1.4943e-02 -1.6957e-01  3.9781e-01  1.4149e-01  7.9657e-02 -4.8891e+00  1.2263e+00  6.8793e-01  2.0094e+00  2.4932e+00  1.3736e-01  2.1717e-01  3.7311e-01  1.1588e-01  1.4609e-01  1.1970e-01  4.2289e-01  1.5770e+00  1.3792e+00  1.5027e+00  1.3990e+00  1.1680e+00  1.2846e+00  9.4188e-01  2.2099e+00  2.0243e+00  9.8448e-01  9.0247e-01
  6.7000e+00  1.6623e+00  1.7360e+00  5.8286e-02 -1.0661e-01  5.0013e-01  1.8111e-01  4.0201e-01 -4.3795e+00  9.4682e-01  1.5956e+00  2.0311e+00  2.5433e+00  7.3555e-01  8.3162e-01  1.2153e+00  7.6954e-01  4.9389e-01  3.9586e-01  1.5841e+00  1.6171e+00  1.4777e+00  1.4842e+00  1.1404e+00  1.0841e+00  1.0569e+00  1.7267e+00  4.3327e+00  3.6437e+00  9.5978e-01  9.0210e-01
  6.8000e+00  1.6579e+00  1.7349e+00  1.4220e-01 -3.1608e-02  7.7607e-01  2.9848e-01  1.1715e+00 -4.7961e-01  1.1366e+00  3.2188e+00  2.0612e+00  2.6176e+00  1.6045e+00  1.6961e+00  2.2909e+00  1.6615e+00  9.9111e-01  7.1424e-01  2.9289e+00  1.6646e+00  1.5918e+00  1.6113e+00  1.1390e+00  1.2164e+00  1.1575e+00  2.0195e+00  5.1514e+00  4.2187e+00  7.6885e-01  9.1330e-01
  6.9000e+00  1.6437e+00  1.7285e+00  1.9736e-01 -1.6380e-01  8.8555e-01  4.1117e-01  1.5651e+00  1.8950e+00  1.6838e+00  3.9192e+00  2.0791e+00  2.6598e+00  2.0751e+00  2.0705e+00  2.7225e+00  2.0311e+00  1.1480e+00  7.7157e-01  3.5873e+00  1.7099e+00  1.6688e+00  2.1635e+00  1.6420e+00  1.6783e+00  1.5817e+00  1.9332e+00  5.0651e+00  4.1562e+00  4.6128e-01  9.1587e-01
