log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.6671e+00	2.2613e+00	7.0120e-01	1.0907e+00	8.4403e-01	2.4168e+00	4.7473e+00	8.6617e-01	2.0455e-01	1.5711e+00
6.1	2.8144e+00	2.5775e+00	6.9239e-01	1.3765e+00	1.0676e+00	2.2307e+00	5.8082e+00	1.2889e+00	1.8742e-01	1.2607e+00
6.2	2.1245e+00	1.4380e+00	7.0261e-01	1.3693e+00	1.2824e+00	2.0905e+00	6.7669e+00	1.5571e+00	4.6330e-01	1.1491e+00
6.3	1.7907e+00	2.2650e+00	1.0116e+00	1.4110e+00	1.1179e+00	1.8434e+00	6.7784e+00	1.8124e+00	6.5697e-01	1.7411e+00
6.4	1.4615e+00	1.9304e+00	8.5133e-01	1.2769e+00	1.3610e+00	1.8687e+00	6.9932e+00	1.8701e+00	7.2834e-01	1.3998e+00
6.5	1.1046e+00	2.0579e+00	1.0156e+00	1.0230e+00	1.3692e+00	1.5833e+00	6.6600e+00	2.2221e+00	1.0859e+00	1.4424e+00
6.6	7.9820e-01	1.7520e+00	8.6192e-01	1.1588e+00	1.6125e+00	1.5831e+00	7.9021e+00	2.1542e+00	1.0477e+00	1.3074e+00
6.7	5.6526e-01	2.0610e+00	1.1164e+00	1.3493e+00	1.5780e+00	1.4377e+00	8.6774e+00	2.2266e+00	1.2300e+00	1.7760e+00
6.8	4.7354e-01	2.0695e+00	1.4846e+00	1.3911e+00	1.3323e+00	1.2514e+00	8.4946e+00	2.4269e+00	1.4718e+00	2.6464e+00
6.9	5.6379e-01	3.6942e+00	1.7830e+00	1.4734e+00	1.0910e+00	1.1583e+00	7.8560e+00	2.7139e+00	1.6535e+00	3.5348e+00
7.0	8.2666e-01	5.7180e+00	1.7784e+00	1.2690e+00	7.9678e-01	1.0708e+00	6.4653e+00	2.7269e+00	1.7383e+00	4.0495e+00
7.1	1.0498e+00	5.1770e+00	1.4397e+00	4.3676e-01	4.3102e-01	8.2581e-01	4.1534e+00	2.5511e+00	1.6810e+00	3.7280e+00
7.2	1.2301e+00	4.5614e+00	9.9815e-01	-8.6934e-01	3.9519e-02	4.3073e-01	1.4106e+00	2.4403e+00	1.5863e+00	2.4212e+00
7.3	1.3960e+00	3.9741e+00	1.0934e+00	-6.6751e-01	-4.3175e-03	4.1735e-01	1.2484e+00	2.5844e+00	1.7919e+00	1.9530e+00
7.4	1.5258e+00	3.6459e+00	1.1501e+00	-5.3298e-01	-2.8727e-03	3.3511e-01	1.0438e+00	2.6029e+00	1.8430e+00	1.8060e+00
7.5	1.5982e+00	3.1371e+00	1.2161e+00	-3.4168e-01	-5.2467e-02	2.4578e-01	8.2154e-01	2.6217e+00	1.8941e+00	1.4007e+00
7.6	1.6051e+00	2.5411e+00	1.2804e+00	-1.5852e-01	-1.1914e-01	1.4312e-01	5.9145e-01	2.6281e+00	1.9259e+00	9.1370e-01
7.7	1.5586e+00	1.8440e+00	1.3181e+00	1.7354e-02	-2.3941e-01	6.3372e-02	4.2677e-01	2.6386e+00	1.9547e+00	2.9590e-01
7.8	1.4934e+00	1.1911e+00	1.3236e+00	1.8068e-01	-3.8375e-01	1.9876e-03	3.0931e-01	2.6564e+00	1.9801e+00	-3.3720e-01
7.9	1.4329e+00	5.9938e-01	1.3285e+00	3.5450e-01	-5.3486e-01	-3.9608e-02	2.3584e-01	2.7041e+00	2.0225e+00	-1.0075e+00
8.0	1.3793e+00	9.2412e-02	1.3323e+00	6.0351e-01	-7.0942e-01	-5.9151e-02	2.2377e-01	2.7516e+00	2.0721e+00	-1.6505e+00
8.1	1.3489e+00	-2.5653e-01	1.3356e+00	9.4475e-01	-8.8379e-01	-5.8078e-02	2.6471e-01	2.7970e+00	2.1205e+00	-2.1502e+00
8.2	1.3536e+00	-4.6895e-01	1.3274e+00	1.4173e+00	-1.0574e+00	-4.4185e-02	3.3412e-01	2.8315e+00	2.1791e+00	-2.5108e+00
8.3	1.4174e+00	-4.6621e-01	1.2745e+00	2.0612e+00	-1.2000e+00	-6.9946e-02	3.8392e-01	2.8345e+00	2.2219e+00	-2.6576e+00
8.4	1.5679e+00	-2.5254e-01	1.1835e+00	2.9432e+00	-1.3113e+00	-1.4546e-01	4.2379e-01	2.8472e+00	2.2692e+00	-2.6485e+00
8.5	1.8552e+00	3.2867e-01	1.0307e+00	4.2205e+00	-1.3799e+00	-3.6248e-01	4.0876e-01	2.9132e+00	2.3315e+00	-2.4723e+00
