    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6710e+00  1.7354e+00  7.0311e-03 -1.6593e-01 -1.7120e-02  5.2218e-02  3.0536e-02 -4.3445e-01  7.2004e-01  1.1310e-01  2.0049e+00  2.4803e+00  1.8535e-02  1.3067e-02  2.6973e-02  9.9700e-03 -1.5819e-02  4.3963e-03  2.9653e-02  1.5379e+00  1.3623e+00  9.2932e-01  9.7085e-01  6.5972e-01  7.1600e-01  5.7537e-02  1.5495e-01  2.7138e-01  3.6215e-01  8.8188e-01
  6.1000e+00  1.6738e+00  1.7369e+00  6.2858e-03 -1.3713e-01 -1.1003e-02  4.3922e-02  2.4834e-02 -5.5304e-01  5.9518e-01  1.0221e-01  2.0051e+00  2.4802e+00  1.5050e-02  1.0541e-02  2.2804e-02  8.1327e-03 -1.8552e-02  3.8890e-03  2.5693e-02  1.5378e+00  1.3623e+00  7.7840e-01  8.1194e-01  5.4845e-01  5.9518e-01  4.5009e-02  1.2222e-01  2.1831e-01  3.5255e-01  8.8099e-01
  6.2000e+00  1.6764e+00  1.7383e+00  5.6774e-03 -1.1052e-01 -4.7920e-03  3.6383e-02  2.0580e-02 -5.1632e-01  4.8455e-01  9.2330e-02  2.0050e+00  2.4799e+00  1.2494e-02  8.7298e-03  1.9525e-02  6.6997e-03 -1.8228e-02  3.4778e-03  2.2081e-02  1.5377e+00  1.3622e+00  6.4202e-01  6.6865e-01  4.4940e-01  4.8759e-01  3.5749e-02  9.7005e-02  1.7441e-01  3.3881e-01  8.8126e-01
  6.3000e+00  1.6701e+00  1.7372e+00  3.5244e-03 -1.6024e-01  3.4661e-02  7.9806e-02  1.0222e-02 -3.8651e-01  7.9819e-01  2.0582e-01  2.0042e+00  2.4786e+00 -3.6844e-03  7.1109e-04  2.4023e-02  1.5932e-02 -1.1246e-02  2.7856e-03  4.3180e-02  1.5381e+00  1.3620e+00  9.6369e-01  9.7117e-01  7.2249e-01  8.0627e-01  1.1203e-01  2.6769e-01  3.9680e-01  3.5532e-01  8.8445e-01
  6.4000e+00  1.6611e+00  1.7372e+00 -2.4043e-03 -1.8994e-01  1.8991e-01  9.7656e-02  5.7994e-03 -2.8321e+00  1.3671e+00  2.3631e-01  2.0029e+00  2.4792e+00  9.4563e-03 -4.4178e-03  5.7630e-02  3.4571e-03 -4.4991e-03 -2.5418e-01  1.4006e-01  1.6088e+00  1.3619e+00  1.4511e+00  1.4930e+00  1.2032e+00  1.3391e+00  4.0514e-01  7.9461e-01  9.3837e-01  5.9153e-01  8.9555e-01
  6.5000e+00  1.6592e+00  1.7372e+00 -4.6008e-03 -1.3131e-01  2.8167e-01  1.0465e-01  1.4212e-01 -2.7185e+00  1.5306e+00  3.3823e-01  2.0022e+00  2.4818e+00  4.1366e-02  6.0106e-02  1.1759e-01  8.6079e-03  3.6813e-02 -9.9983e-02  1.3910e-01  1.6020e+00  1.3629e+00  1.5221e+00  1.5978e+00  1.2840e+00  1.4537e+00  6.3374e-01  1.3300e+00  1.3540e+00  6.1077e-01  9.0535e-01
  6.6000e+00  1.6580e+00  1.7370e+00  8.1981e-03 -6.9242e-02  3.4042e-01  1.1164e-01  2.2960e-01 -3.2192e+00  1.4878e+00  5.4569e-01  2.0061e+00  2.4895e+00  1.4989e-01  2.0456e-01  2.7249e-01  1.3639e-01  1.5447e-01  4.2080e-02  2.1572e-01  1.5916e+00  1.3689e+00  1.6120e+00  1.6130e+00  1.3740e+00  1.4836e+00  9.6781e-01  2.1914e+00  1.9918e+00  7.7877e-01  9.0951e-01
  6.7000e+00  1.6588e+00  1.7407e+00  6.9017e-02  1.1652e-01  5.5935e-01  1.9302e-01  7.4207e-01 -1.0664e+00  1.4148e+00  1.6740e+00  2.0224e+00  2.5223e+00  5.8945e-01  8.2720e-01  8.8648e-01  7.2001e-01  5.4273e-01  3.8964e-01  7.1612e-01  1.5468e+00  1.3907e+00  1.6610e+00  1.5165e+00  1.4410e+00  1.4983e+00  1.5949e+00  3.9183e+00  3.2115e+00  8.7102e-01  9.2378e-01
  6.8000e+00  1.6718e+00  1.7538e+00  2.5745e-01  5.8189e-01  1.2306e+00  4.0238e-01  1.9156e+00  9.7494e-01  9.0533e-01  3.8382e+00  2.0646e+00  2.6035e+00  1.6238e+00  2.0870e+00  2.0970e+00  1.8233e+00  1.1630e+00  8.7786e-01  1.8704e+00  1.5536e+00  1.4276e+00  1.2060e+00  6.6018e-01  1.1063e+00  9.7852e-01  1.9586e+00  5.0019e+00  3.9101e+00  7.0864e-01  9.4398e-01
  6.9000e+00  1.6775e+00  1.7610e+00  5.0341e-01  7.4023e-01  1.7903e+00  6.1281e-01  2.8071e+00  2.7051e+00  5.3802e-01  5.1339e+00  2.1078e+00  2.6803e+00  2.4957e+00  2.9250e+00  2.9412e+00  2.5858e+00  1.4812e+00  1.1843e+00  2.7885e+00  1.5632e+00  1.4543e+00  1.0949e+00  8.6823e-02  1.0010e+00  6.1955e-01  1.9607e+00  5.0864e+00  3.9212e+00  3.7068e-01  9.4558e-01
  7.0000e+00  1.6675e+00  1.7551e+00  4.7332e-01  5.8498e-01  1.6366e+00  6.1165e-01  2.6102e+00  2.4355e+00  8.2731e-01  4.7056e+00  2.1060e+00  2.6707e+00  2.3110e+00  2.7291e+00  2.7650e+00  2.4223e+00  1.3984e+00  1.1302e+00  2.6606e+00  1.5624e+00  1.4501e+00  1.6160e+00  6.5432e-01  1.3758e+00  1.0037e+00  1.8345e+00  4.7949e+00  3.6988e+00  3.8399e-01  9.4724e-01
  7.1000e+00  1.6578e+00  1.7553e+00  5.0447e-01  6.2722e-01  1.7323e+00  6.8909e-01  2.7207e+00  2.5965e+00  1.2600e+00  4.7994e+00  2.1010e+00  2.6613e+00  2.2632e+00  2.6804e+00  2.6843e+00  2.3482e+00  1.3722e+00  1.0884e+00  2.3973e+00  1.5579e+00  1.4399e+00  2.2764e+00  1.2485e+00  1.9251e+00  1.5236e+00  1.7367e+00  4.5822e+00  3.5503e+00  4.2332e-01  9.6635e-01
  7.2000e+00  1.6294e+00  1.7437e+00  4.0179e-01  3.8408e-01  1.5187e+00  7.3189e-01  2.3794e+00  2.4938e+00  2.3233e+00  4.3886e+00  2.0786e+00  2.6212e+00  1.8415e+00  2.2843e+00  2.2668e+00  1.9799e+00  1.2143e+00  9.2547e-01  1.8315e+00  1.5506e+00  1.4204e+00  3.7946e+00  2.8798e+00  3.1338e+00  2.8069e+00  1.5994e+00  4.2644e+00  3.3636e+00  5.1286e-01  9.8359e-01
  7.3000e+00  1.6013e+00  1.7233e+00  1.4784e-01 -2.2938e-01  7.7989e-01  4.2952e-01  1.2231e+00  1.0813e+00  3.7049e+00  2.3143e+00  2.0332e+00  2.5412e+00  8.2308e-01  1.0866e+00  1.1952e+00  1.0012e+00  6.6607e-01  5.0277e-01  9.4637e-01  1.5438e+00  1.3919e+00  4.7495e+00  4.4688e+00  3.9840e+00  4.0022e+00  1.3811e+00  3.5086e+00  2.9689e+00  8.5164e-01  9.6795e-01
  7.4000e+00  1.5872e+00  1.7159e+00  1.1288e-01 -3.5289e-01  7.6261e-01  3.9822e-01  1.1668e+00  8.0222e-01  4.3122e+00  2.0231e+00  2.0253e+00  2.5318e+00  7.4414e-01  9.2030e-01  1.0570e+00  8.4265e-01  5.7922e-01  4.2663e-01  8.0498e-01  1.5427e+00  1.3872e+00  5.3627e+00  5.1708e+00  4.5000e+00  4.5632e+00  1.3631e+00  3.3728e+00  2.9411e+00  1.0320e+00  9.7926e-01
  7.5000e+00  1.5782e+00  1.7124e+00  1.1861e-01 -3.4771e-01  8.3767e-01  4.1694e-01  1.3297e+00  8.4229e-01  4.6173e+00  2.1596e+00  2.0247e+00  2.5343e+00  8.1341e-01  9.8815e-01  1.1145e+00  8.7290e-01  6.1448e-01  4.3483e-01  7.7277e-01  1.5422e+00  1.3867e+00  5.8239e+00  5.6237e+00  4.8815e+00  4.9180e+00  1.3783e+00  3.4086e+00  2.9769e+00  1.1042e+00  9.9769e-01
  7.6000e+00  1.5673e+00  1.7056e+00  1.0683e-01 -3.9049e-01  8.1059e-01  4.1365e-01  1.4081e+00  7.7457e-01  4.9713e+00  2.1164e+00  2.0192e+00  2.5290e+00  7.7927e-01  9.4881e-01  1.0605e+00  7.9917e-01  5.9193e-01  3.9220e-01  6.4399e-01  1.5411e+00  1.3831e+00  6.3163e+00  6.1567e+00  5.2476e+00  5.2891e+00  1.3621e+00  3.3400e+00  2.9556e+00  1.2000e+00  1.0169e+00
  7.7000e+00  1.5540e+00  1.6944e+00  9.2555e-02 -5.6240e-01  6.3431e-01  4.0154e-01  1.3443e+00  6.5405e-01  5.3026e+00  1.9216e+00  2.0136e+00  2.5215e+00  6.9252e-01  8.5193e-01  9.5318e-01  6.9141e-01  5.3514e-01  3.3759e-01  5.3600e-01  1.5404e+00  1.3796e+00  6.8787e+00  6.7564e+00  5.5938e+00  5.6391e+00  1.3020e+00  3.1809e+00  2.8812e+00  1.1842e+00  1.0249e+00
  7.8000e+00  1.5478e+00  1.6897e+00  8.6490e-02 -5.4980e-01  5.8622e-01  3.9900e-01  1.4718e+00  6.4141e-01  5.4286e+00  1.9800e+00  2.0113e+00  2.5217e+00  7.0126e-01  8.8890e-01  9.8025e-01  6.9072e-01  5.5222e-01  3.2647e-01  5.0450e-01  1.5419e+00  1.3818e+00  7.1486e+00  7.0502e+00  5.7505e+00  5.7983e+00  1.3042e+00  3.2036e+00  2.8978e+00  1.3295e+00  1.0452e+00
