    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6724e+00  1.7366e+00  7.7576e-03 -1.4791e-01  1.6615e-02  4.7971e-02  4.5865e-02 -3.6307e-01  6.7570e-01  1.3027e-01  2.0050e+00  2.4806e+00  1.8833e-02  1.7293e-02  3.8148e-02  1.5402e-02 -1.2875e-02  6.8206e-03  3.2854e-02  1.5380e+00  1.3624e+00  8.4442e-01  8.7506e-01  6.0760e-01  6.6353e-01  6.8038e-02  1.7698e-01  2.7848e-01  3.6766e-01  8.8181e-01
  6.1000e+00  1.6759e+00  1.7383e+00  6.6386e-03 -1.1336e-01  1.8301e-02  3.8463e-02  3.5023e-02 -4.3445e-01  5.2316e-01  1.1260e-01  2.0051e+00  2.4803e+00  1.4253e-02  1.3434e-02  3.0359e-02  1.1970e-02 -1.6956e-02  5.5829e-03  2.7053e-02  1.5379e+00  1.3623e+00  6.6302e-01  6.8612e-01  4.7349e-01  5.1715e-01  4.9805e-02  1.3037e-01  2.0836e-01  3.4937e-01  8.8146e-01
  6.2000e+00  1.6770e+00  1.7388e+00  6.1761e-03 -1.0033e-01  1.7984e-02  3.5697e-02  3.0842e-02 -3.0919e-01  4.6332e-01  1.1158e-01  2.0049e+00  2.4798e+00  1.0003e-02  8.8113e-03  2.7786e-02  1.0676e-02 -1.2528e-02  4.2749e-03  2.5052e-02  1.5378e+00  1.3622e+00  5.9247e-01  6.0860e-01  4.2046e-01  4.6106e-01  4.5358e-02  1.1639e-01  1.8665e-01  3.3613e-01  8.8164e-01
  6.3000e+00  1.6723e+00  1.7325e+00  7.5593e-03 -1.2718e-01  1.4301e-02  5.2154e-02  1.0270e-03 -1.5602e+00  5.1136e-01  1.6542e-01  2.0047e+00  2.4794e+00  9.1154e-03  3.7502e-03  3.5496e-02  3.3297e-02 -7.8421e-03  1.2646e-02 -1.6606e-02  1.5382e+00  1.3611e+00  8.3928e-01  7.3058e-01  5.5884e-01  5.7219e-01  6.7194e-02  1.6356e-01  2.5656e-01  4.1097e-01  8.8163e-01
  6.4000e+00  1.6713e+00  1.7333e+00  9.2211e-03 -1.4551e-01  5.7381e-02  7.2522e-02 -1.1856e-01 -3.6274e+00  5.0551e-01  1.9624e-01  2.0053e+00  2.4797e+00  1.1070e-02  1.7850e-03  3.9510e-02 -4.2929e-02 -6.8867e-04 -1.5347e-03 -1.1355e-02  1.5502e+00  1.3614e+00  9.7548e-01  8.1120e-01  6.3141e-01  6.5106e-01  8.3255e-02  2.0703e-01  3.2076e-01  7.2787e-01  8.8421e-01
  6.5000e+00  1.6611e+00  1.7357e+00 -3.4622e-03 -1.9841e-01  2.4825e-01  1.3371e-01  5.3946e-02 -2.8776e+00  1.3061e+00  4.3357e-01  2.0036e+00  2.4812e+00  1.4333e-03  5.8094e-02  1.2263e-01 -1.9870e-03  3.6808e-02  4.6960e-02  1.1320e-01  1.5767e+00  1.3630e+00  1.4419e+00  1.4812e+00  1.1320e+00  1.3136e+00  4.9518e-01  1.0953e+00  1.1484e+00  6.9219e-01  8.9838e-01
  6.6000e+00  1.6636e+00  1.7382e+00  9.6384e-03 -1.1140e-01  3.7047e-01  1.4594e-01  8.7797e-02 -4.8193e+00  1.1200e+00  6.5347e-01  2.0094e+00  2.4928e+00  1.5808e-01  2.3181e-01  3.3462e-01  1.1152e-01  1.7257e-01  1.1525e-01  3.8844e-01  1.5875e+00  1.3749e+00  1.3993e+00  1.2887e+00  1.0845e+00  1.1797e+00  8.9988e-01  2.1452e+00  1.9346e+00  8.8224e-01  9.0133e-01
  6.7000e+00  1.6655e+00  1.7387e+00  7.0695e-02 -4.7039e-03  5.5732e-01  1.9414e-01  5.3266e-01 -3.7803e+00  8.5132e-01  1.7530e+00  2.0339e+00  2.5452e+00  7.8707e-01  9.2950e-01  1.2279e+00  8.5245e-01  6.0033e-01  4.7720e-01  1.5530e+00  1.5931e+00  1.4412e+00  1.3679e+00  1.0206e+00  1.0211e+00  9.9011e-01  1.7400e+00  4.3198e+00  3.5364e+00  8.9614e-01  9.0581e-01
  6.8000e+00  1.6628e+00  1.7395e+00  1.7784e-01  1.3261e-01  9.6237e-01  3.3648e-01  1.4549e+00 -4.0119e-01  9.2041e-01  3.5112e+00  2.0725e+00  2.6298e+00  1.7335e+00  1.9117e+00  2.4036e+00  1.8617e+00  1.0963e+00  8.8977e-01  3.0021e+00  1.6231e+00  1.5352e+00  1.4468e+00  8.9709e-01  1.1238e+00  1.0256e+00  2.0893e+00  5.2600e+00  4.1729e+00  7.2404e-01  9.1944e-01
  6.9000e+00  1.6537e+00  1.7366e+00  2.8730e-01  7.7972e-02  1.2540e+00  4.8472e-01  2.1329e+00  2.1326e+00  1.1568e+00  4.6661e+00  2.1086e+00  2.7035e+00  2.5018e+00  2.5657e+00  3.1575e+00  2.5017e+00  1.3699e+00  1.0818e+00  4.0791e+00  1.6685e+00  1.6187e+00  1.7875e+00  1.0391e+00  1.4212e+00  1.2038e+00  2.0933e+00  5.3549e+00  4.2140e+00  4.2883e-01  9.2079e-01
