log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.8036e+00	5.2634e+00	3.1726e-01	1.8348e+00	1.7554e+00	4.2377e+00	7.5735e+00	2.0164e+00	7.0335e-01	9.2539e-01
6.1	2.1141e+00	5.9468e+00	8.9508e-01	2.0362e+00	1.9229e+00	3.2603e+00	8.3869e+00	2.4378e+00	9.9468e-01	1.2669e+00
6.2	2.1346e+00	5.7713e+00	6.1500e-01	1.9840e+00	1.9609e+00	3.2454e+00	8.2608e+00	2.3931e+00	9.5163e-01	1.0102e+00
6.3	1.9774e+00	5.1450e+00	5.1686e-01	1.9303e+00	2.0451e+00	2.8037e+00	9.0830e+00	1.9686e+00	9.8047e-01	2.1944e+00
6.4	1.4377e+00	5.9487e+00	1.1945e+00	1.7597e+00	1.9500e+00	2.2291e+00	8.9059e+00	2.1285e+00	1.2469e+00	3.3450e+00
6.5	1.2682e+00	6.2507e+00	1.5338e+00	1.5927e+00	1.9996e+00	1.9260e+00	8.5811e+00	2.1211e+00	1.5925e+00	2.2287e+00
6.6	1.1667e+00	6.1849e+00	1.8726e+00	1.6341e+00	1.9793e+00	1.6201e+00	8.3975e+00	2.5294e+00	1.9844e+00	1.5098e+00
6.7	1.0400e+00	6.7256e+00	2.1477e+00	1.7900e+00	1.8001e+00	1.5197e+00	8.5756e+00	2.7530e+00	1.8352e+00	2.5508e+00
6.8	1.0612e+00	7.6677e+00	2.4469e+00	1.7077e+00	1.4089e+00	1.3113e+00	7.7593e+00	3.3258e+00	1.8412e+00	3.4753e+00
6.9	1.2058e+00	7.7779e+00	2.3761e+00	1.2518e+00	9.4822e-01	1.1707e+00	6.5677e+00	3.7094e+00	1.9485e+00	3.8342e+00
7.0	1.4413e+00	7.5166e+00	1.7959e+00	-5.9550e-01	2.5530e-01	7.4772e-01	3.1051e+00	3.3180e+00	1.9710e+00	2.9754e+00
7.1	1.6499e+00	6.9699e+00	1.7074e+00	-1.1173e+00	1.3269e-01	5.7555e-01	1.7141e+00	3.3658e+00	2.2395e+00	2.5820e+00
7.2	1.8046e+00	6.1672e+00	1.8103e+00	-8.6174e-01	1.4473e-01	5.2502e-01	1.5074e+00	3.5580e+00	2.5197e+00	2.3094e+00
7.3	1.8801e+00	5.3156e+00	1.8744e+00	-5.6234e-01	8.0732e-02	4.5384e-01	1.3008e+00	3.6758e+00	2.6980e+00	1.8873e+00
7.4	1.8870e+00	4.3973e+00	1.9055e+00	-2.5014e-01	-4.1115e-02	3.8104e-01	1.1224e+00	3.7660e+00	2.8148e+00	1.3417e+00
7.5	1.8430e+00	3.4226e+00	1.8824e+00	4.8525e-02	-2.1987e-01	3.1070e-01	9.8030e-01	3.8131e+00	2.8781e+00	7.0193e-01
7.6	1.7856e+00	2.4816e+00	1.8336e+00	3.4067e-01	-4.3576e-01	2.6289e-01	9.0090e-01	3.8602e+00	2.9537e+00	1.3099e-02
7.7	1.7243e+00	1.6116e+00	1.7514e+00	7.0527e-01	-7.0001e-01	2.5807e-01	9.0780e-01	3.8957e+00	3.0115e+00	-7.3341e-01
7.8	1.6732e+00	8.9878e-01	1.6564e+00	1.1834e+00	-9.8645e-01	3.2433e-01	1.0288e+00	3.9366e+00	3.0621e+00	-1.4820e+00
7.9	1.6386e+00	3.5695e-01	1.5300e+00	1.8017e+00	-1.2778e+00	4.5831e-01	1.2368e+00	3.9610e+00	3.1015e+00	-2.1626e+00
8.0	1.6411e+00	1.6285e-04	1.3511e+00	2.5588e+00	-1.5593e+00	6.0896e-01	1.4548e+00	3.9413e+00	3.1290e+00	-2.6851e+00
8.1	1.7293e+00	-1.3879e-01	1.1118e+00	3.4551e+00	-1.8151e+00	7.0645e-01	1.6136e+00	3.8746e+00	3.1421e+00	-2.9780e+00
8.2	1.9485e+00	-2.9761e-02	8.2166e-01	4.5199e+00	-2.0060e+00	6.7690e-01	1.6824e+00	3.7944e+00	3.1279e+00	-3.0219e+00
8.3	2.3545e+00	4.3306e-01	4.5129e-01	5.9032e+00	-2.0865e+00	4.3771e-01	1.5917e+00	3.7493e+00	3.1183e+00	-2.7940e+00
8.4	2.9122e+00	1.3732e+00	2.2839e-02	7.3812e+00	-1.8806e+00	-2.4978e-01	1.1882e+00	3.8063e+00	3.1493e+00	-2.1976e+00
8.5	3.8273e+00	3.0497e+00	-6.0836e-01	8.7328e+00	-6.4336e-01	-1.9483e+00	-1.4139e-01	3.9415e+00	3.3479e+00	-1.0421e+00
8.6	4.1363e+00	4.1463e+00	-9.9254e-01	8.0503e+00	3.0354e+00	-4.6226e+00	-1.4277e+00	4.1177e+00	3.7377e+00	7.3746e-01
8.7	1.0635e+00	9.5532e-01	4.5693e-01	1.6300e+00	6.2623e+00	-6.4350e+00	-1.2118e+00	4.1256e+00	4.3763e+00	3.1896e+00
8.8	3.7702e-01	4.1852e-01	3.3879e-01	1.8319e-01	1.8824e+00	-3.0981e+00	-9.9382e-01	4.3781e+00	5.1127e+00	5.7896e+00
8.9	3.0221e-01	3.8632e-01	2.1487e-01	1.5047e-01	3.7481e-01	-3.3045e-01	-3.2317e-02	5.5208e+00	5.9714e+00	8.3440e+00
9.0	3.0573e-01	3.9811e-01	1.9514e-01	2.3432e-01	4.3535e-02	-1.2476e-02	4.7770e-01	7.2587e+00	6.8951e+00	1.0787e+01
9.1	2.8861e-01	3.9100e-01	1.7154e-01	3.0628e-01	-4.4689e-02	7.7414e-03	5.5437e-01	7.3419e+00	7.2206e+00	1.2176e+01
9.2	4.1410e-01	5.3622e-01	2.0225e-01	4.0507e-01	-1.0365e-01	-7.6476e-02	6.6270e-01	7.2820e+00	7.1965e+00	1.2818e+01
9.3	2.0494e-01	3.3528e-01	1.3492e-01	7.4140e-02	4.3798e-03	5.3145e-02	2.9531e-01	1.8255e+00	3.5474e+00	1.0032e+01
9.4	2.4770e-01	3.6555e-01	1.5807e-01	1.3287e-01	-4.2884e-02	4.6479e-02	3.1365e-01	1.1868e+00	2.2639e+00	8.2649e+00
