    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  7.1000e+00  1.6400e+00  1.7261e+00  8.4091e-03 -3.3710e-01  9.0481e-03  1.8875e-01 -6.8389e-03 -9.4657e-01  2.1466e+00  2.7623e-01  2.0017e+00  2.4776e+00  2.7111e-02  2.2196e-02  2.6358e-02 -5.3668e-03  1.5105e-02  2.1935e-03  5.9177e-02  1.5372e+00  1.3618e+00  2.6067e+00  2.5689e+00  2.0784e+00  2.1600e+00  4.2689e-01  9.3583e-01  1.1074e+00  5.0196e-01  9.0384e-01
  7.2000e+00  1.6337e+00  1.7217e+00  7.0670e-03 -4.1885e-01 -3.4760e-02  2.1422e-01  1.5399e-02 -1.7470e-01  2.3698e+00  2.7720e-01  2.0012e+00  2.4772e+00  2.3200e-02  2.1847e-02  2.3593e-02  6.6417e-03  1.4319e-02  3.1594e-03  6.1705e-02  1.5372e+00  1.3617e+00  2.9267e+00  2.8968e+00  2.2855e+00  2.3750e+00  3.6842e-01  8.3948e-01  1.0599e+00  3.7103e-01  9.0475e-01
  7.3000e+00  1.6247e+00  1.7168e+00  6.9818e-03 -5.0707e-01 -6.1322e-02  2.4950e-01  2.1539e-02  3.5153e-02  2.6944e+00  2.9562e-01  2.0005e+00  2.4766e+00  2.3692e-02  2.2898e-02  2.3417e-02  1.0743e-02  1.4506e-02  3.3212e-03  6.7139e-02  1.5372e+00  1.3617e+00  3.3883e+00  3.3456e+00  2.6280e+00  2.7170e+00  3.5541e-01  8.3059e-01  1.0949e+00  3.3022e-01  9.0891e-01
  7.4000e+00  1.6111e+00  1.7092e+00  7.0787e-03 -6.4005e-01 -1.1422e-01  2.8658e-01  2.4364e-02  1.7645e-01  3.1700e+00  3.0178e-01  1.9996e+00  2.4759e+00  2.4858e-02  2.1831e-02  2.2437e-02  1.2457e-02  1.3420e-02  3.2650e-03  7.0918e-02  1.5372e+00  1.3616e+00  4.0525e+00  4.0003e+00  3.1261e+00  3.2113e+00  3.5617e-01  8.3786e-01  1.1702e+00  2.9603e-01  9.1488e-01
  7.5000e+00  1.5882e+00  1.6989e+00  7.5887e-03 -8.3188e-01 -1.3021e-01  3.7416e-01  2.7062e-02  1.9679e-01  4.0512e+00  3.5914e-01  1.9981e+00  2.4750e+00  2.7545e-02  2.3808e-02  2.4213e-02  1.4041e-02  1.4096e-02  3.4880e-03  8.5095e-02  1.5371e+00  1.3615e+00  5.2013e+00  5.1052e+00  4.0513e+00  4.1249e+00  4.0461e-01  9.5986e-01  1.3912e+00  3.1273e-01  9.2511e-01
  7.6000e+00  1.5704e+00  1.6912e+00  8.2273e-03 -9.6660e-01 -1.5102e-01  4.2190e-01  3.2278e-02  2.0657e-01  4.7265e+00  3.9034e-01  1.9972e+00  2.4743e+00  3.0738e-02  2.7646e-02  2.7547e-02  1.6486e-02  1.5921e-02  3.8956e-03  9.2431e-02  1.5370e+00  1.3614e+00  6.0633e+00  5.9375e+00  4.7645e+00  4.8229e+00  4.8095e-01  1.1233e+00  1.6041e+00  3.1413e-01  9.3425e-01
  7.7000e+00  1.5617e+00  1.6856e+00  9.1904e-03 -1.0434e+00 -2.1641e-01  4.1636e-01  3.9038e-02  1.9598e-01  4.9821e+00  3.7957e-01  1.9969e+00  2.4743e+00  3.5833e-02  3.4270e-02  3.2147e-02  2.0280e-02  1.8806e-02  4.5192e-03  9.1190e-02  1.5370e+00  1.3614e+00  6.4524e+00  6.3264e+00  5.0508e+00  5.0969e+00  5.0389e-01  1.1793e+00  1.6677e+00  2.9475e-01  9.3944e-01
  7.8000e+00  1.5499e+00  1.6783e+00  1.0347e-02 -1.1514e+00 -3.2297e-01  3.7762e-01  4.6537e-02  1.7125e-01  5.3519e+00  3.4298e-01  1.9967e+00  2.4745e+00  4.4293e-02  3.9788e-02  3.7708e-02  2.4928e-02  2.4021e-02  5.8728e-03  8.5011e-02  1.5369e+00  1.3615e+00  6.9546e+00  6.8533e+00  5.4425e+00  5.4769e+00  5.9703e-01  1.3741e+00  1.8320e+00  2.7371e-01  9.4681e-01
  7.9000e+00  1.5467e+00  1.6772e+00  1.6332e-02 -1.0614e+00 -3.1805e-01  3.3381e-01  1.2372e-01  1.9111e-01  5.2895e+00  4.2006e-01  1.9979e+00  2.4778e+00  7.6285e-02  1.3842e-01  9.9108e-02  8.2528e-02  7.8807e-02  1.6159e-02  9.6718e-02  1.5365e+00  1.3625e+00  7.0532e+00  6.8986e+00  5.5582e+00  5.5401e+00  7.2480e-01  1.7815e+00  1.8992e+00  2.2947e-01  9.5524e-01
  8.0000e+00  1.5340e+00  1.6684e+00  1.2478e-02 -1.2845e+00 -4.9053e-01  2.9555e-01  5.5704e-02  1.3408e-01  5.8338e+00  2.6401e-01  1.9965e+00  2.4746e+00  5.7304e-02  3.5603e-02  3.8532e-02  2.0996e-02  1.8635e-02  4.2794e-03  7.1133e-02  1.5367e+00  1.3610e+00  7.6045e+00  7.5387e+00  5.9594e+00  5.9693e+00  6.7371e-01  1.4802e+00  2.0065e+00  2.1319e-01  9.5826e-01
  8.1000e+00  1.5257e+00  1.6623e+00  2.3498e-02 -1.1907e+00 -5.1593e-01  2.6126e-01  1.8120e-01  1.7087e-01  5.7461e+00  4.0009e-01  1.9974e+00  2.4790e+00  1.1091e-01  1.7641e-01  1.2782e-01  1.0096e-01  9.0937e-02  1.8202e-02  9.3945e-02  1.5362e+00  1.3622e+00  7.9140e+00  7.7440e+00  6.1749e+00  6.0957e+00  7.3442e-01  1.7878e+00  1.9113e+00  2.1610e-01  9.7349e-01
