    log(age)        CN_1        CN_2      Ca4227       G4300      Fe4383      Ca4455      Fe4531      Fe4668      H_beta      Fe5015        Mg_1        Mg_2        Mg_b      Fe5270      Fe5335      Fe5406      Fe5709      Fe5782        Na_D       TiO_1       TiO_2    Hdelta_A    Hgamma_A    Hdelta_F    Hgamma_F      Ca8498      Ca8542      Ca8662        MgUV       D4000
  6.0000e+00  1.6714e+00  1.7359e+00  7.5787e-03 -1.5911e-01  2.0119e-03  5.0573e-02  4.1943e-02 -3.9945e-01  7.1101e-01  1.2448e-01  2.0050e+00  2.4805e+00  1.9213e-02  1.5878e-02  3.4147e-02  1.3316e-02 -1.3193e-02  5.8023e-03  3.1807e-02  1.5379e+00  1.3624e+00  8.9971e-01  9.3224e-01  6.4455e-01  7.0085e-01  6.6013e-02  1.7337e-01  2.8372e-01  3.6928e-01  8.8148e-01
  6.1000e+00  1.6750e+00  1.7377e+00  6.4869e-03 -1.2285e-01  6.3840e-03  4.0433e-02  3.1878e-02 -4.8729e-01  5.5103e-01  1.0767e-01  2.0050e+00  2.4802e+00  1.4590e-02  1.2182e-02  2.7152e-02  1.0271e-02 -1.5517e-02  4.7945e-03  2.6209e-02  1.5378e+00  1.3623e+00  7.0929e-01  7.3344e-01  5.0395e-01  5.4763e-01  4.7801e-02  1.2658e-01  2.1126e-01  3.5221e-01  8.8121e-01
  6.2000e+00  1.6770e+00  1.7387e+00  5.8458e-03 -1.0175e-01  9.3794e-03  3.4947e-02  2.6852e-02 -3.6202e-01  4.6260e-01  1.0301e-01  2.0049e+00  2.4797e+00  1.0751e-02  8.3531e-03  2.3951e-02  8.2175e-03 -1.1635e-02  3.7369e-03  2.4677e-02  1.5378e+00  1.3622e+00  5.9876e-01  6.1797e-01  4.2252e-01  4.6265e-01  4.2355e-02  1.0974e-01  1.8139e-01  3.3641e-01  8.8164e-01
  6.3000e+00  1.6717e+00  1.7344e+00  6.2212e-03 -1.3929e-01  1.2502e-02  6.0893e-02  1.0576e-02 -1.1984e+00  6.0352e-01  1.8050e-01  2.0044e+00  2.4788e+00  2.3764e-03 -4.5565e-04  3.1520e-02  2.4681e-02 -5.7825e-03  8.4405e-03  8.9954e-03  1.5382e+00  1.3613e+00  8.7793e-01  8.1019e-01  6.1009e-01  6.4756e-01  8.1285e-02  1.9489e-01  3.0107e-01  3.9332e-01  8.8281e-01
  6.4000e+00  1.6696e+00  1.7347e+00  4.3461e-03 -1.6539e-01  7.9445e-02  9.6449e-02 -1.0126e-01 -3.8254e+00  6.4909e-01  2.1477e-01  2.0048e+00  2.4793e+00  2.5169e-03  7.5052e-04  3.4664e-02 -3.9052e-02  4.7979e-04 -1.0476e-02  3.9489e-02  1.5772e+00  1.3617e+00  1.0473e+00  9.3836e-01  7.3794e-01  7.6844e-01  1.0194e-01  2.4853e-01  3.7778e-01  6.5867e-01  8.8536e-01
  6.5000e+00  1.6604e+00  1.7382e+00 -5.1121e-03 -1.5803e-01  3.0807e-01  1.2446e-01  1.2427e-01 -2.6381e+00  1.4842e+00  4.4981e-01  2.0026e+00  2.4818e+00  1.7440e-02  7.8773e-02  1.3747e-01  3.9312e-03  4.6194e-02  1.9256e-02  1.6009e-01  1.5831e+00  1.3631e+00  1.4806e+00  1.5670e+00  1.2206e+00  1.4325e+00  6.3540e-01  1.3694e+00  1.3710e+00  6.7462e-01  9.0637e-01
  6.6000e+00  1.6652e+00  1.7381e+00  8.1281e-03 -3.8737e-02  3.7900e-01  1.4000e-01  1.6570e-01 -4.7997e+00  1.0260e+00  7.0385e-01  2.0101e+00  2.4953e+00  2.0585e-01  2.9307e-01  3.6280e-01  1.5650e-01  2.1804e-01  1.2906e-01  3.9637e-01  1.5951e+00  1.3743e+00  1.3020e+00  1.1741e+00  1.0112e+00  1.0832e+00  1.0159e+00  2.4307e+00  2.1216e+00  8.2749e-01  9.0427e-01
  6.7000e+00  1.6687e+00  1.7417e+00  8.8789e-02  1.4377e-01  6.4409e-01  2.1046e-01  7.6645e-01 -2.7848e+00  8.0379e-01  2.0402e+00  2.0358e+00  2.5480e+00  8.5986e-01  1.0841e+00  1.2757e+00  9.6462e-01  6.9159e-01  5.4126e-01  1.4131e+00  1.5703e+00  1.4147e+00  1.2482e+00  8.9106e-01  9.6483e-01  9.3823e-01  1.7879e+00  4.4272e+00  3.5604e+00  8.3563e-01  9.1607e-01
  6.8000e+00  1.6667e+00  1.7449e+00  2.2619e-01  3.2039e-01  1.1509e+00  3.7127e-01  1.7730e+00  2.2962e-01  8.5561e-01  3.7704e+00  2.0753e+00  2.6300e+00  1.7956e+00  2.0879e+00  2.4098e+00  1.9715e+00  1.1635e+00  9.9024e-01  2.7288e+00  1.5795e+00  1.4723e+00  1.3136e+00  7.4118e-01  1.0809e+00  9.8355e-01  2.0880e+00  5.2458e+00  4.1084e+00  6.5993e-01  9.3321e-01
  6.9000e+00  1.6636e+00  1.7454e+00  4.0775e-01  2.9656e-01  1.5468e+00  5.4647e-01  2.5364e+00  2.3801e+00  6.9319e-01  5.0718e+00  2.1217e+00  2.7155e+00  2.7116e+00  2.8803e+00  3.2906e+00  2.7434e+00  1.4776e+00  1.2691e+00  3.8728e+00  1.6088e+00  1.5306e+00  1.4652e+00  5.1889e-01  1.2021e+00  8.5778e-01  2.0872e+00  5.3337e+00  4.1320e+00  3.8041e-01  9.2603e-01
