log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
9.6	4.5527e+00	1.2262e+01	6.8065e-02	1.8975e+00	-1.1416e+00	-1.9512e+00	-5.4222e+00	8.0144e-01	5.3002e-01	-1.4278e+00
9.7	3.4423e+00	8.9504e+00	4.3505e-01	1.9177e+00	-1.0410e+00	-1.7531e+00	-4.6942e+00	6.4619e-01	5.6432e-01	-1.6518e+00
9.8	6.7445e-01	1.8790e+00	4.1818e-01	7.3156e-01	-3.6312e-01	-4.2241e-01	-1.0309e+00	6.7369e-01	5.5808e-01	-1.4372e+00
9.9	3.7015e-01	3.7965e-01	5.1731e-01	3.7689e-01	-1.6073e-01	-1.5754e-01	-4.0385e-01	8.2676e-01	4.6358e-01	-1.0324e+00
10.0	3.1944e-01	1.3550e-01	4.0863e-01	2.6152e-01	-6.8925e-02	-8.1531e-02	-2.1786e-01	9.3005e-01	3.5564e-01	-6.8909e-01
10.1	2.2257e-01	1.1230e-01	2.1983e-01	1.6161e-01	-8.2507e-03	-3.3161e-02	-4.9093e-02	8.4147e-01	2.8192e-01	-2.2123e-01
10.2	1.5001e-01	1.5433e-01	1.3072e-01	1.0241e-01	3.4879e-02	4.0913e-03	9.7227e-02	8.2605e-01	3.0590e-01	2.0796e-01
10.3	1.3362e-01	2.3523e-01	1.1692e-01	7.7434e-02	6.4093e-02	3.0270e-02	1.9112e-01	6.7995e-01	2.8324e-01	5.2534e-01
10.4	1.4147e-01	2.9588e-01	1.1934e-01	6.2801e-02	8.3402e-02	5.0287e-02	2.5059e-01	5.4808e-01	2.4784e-01	7.0892e-01
10.5	1.3530e-01	3.6345e-01	1.0739e-01	4.0344e-02	1.0277e-01	7.2628e-02	3.2405e-01	4.2655e-01	2.1856e-01	9.5546e-01
10.6	1.3366e-01	2.8031e-01	3.2803e-01	5.7474e-02	6.3067e-02	8.3018e-02	3.5123e-01	2.0168e-01	2.4391e-01	1.3491e+00
10.7	1.5513e-01	2.7636e-01	2.5897e-01	8.2169e-02	5.1394e-02	9.1205e-02	6.2143e-01	1.8002e-01	1.9036e-01	1.8816e+00
10.8	6.8300e-01	6.9052e-01	1.5532e-01	4.2110e-01	3.5551e-02	9.8401e-02	1.5253e+00	5.4603e-01	1.6688e-01	2.5750e+00
10.9	6.3146e-01	6.0951e-01	1.3396e-01	3.6388e-01	4.4040e-02	1.0235e-01	1.6041e+00	6.1613e-01	2.6093e-01	3.2255e+00
11.0	6.1167e-01	5.9869e-01	1.3990e-01	3.5308e-01	4.2765e-02	9.8668e-02	1.5505e+00	5.6290e-01	1.2551e-01	2.7271e+00
