log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
9.6	1.7154e+00	6.1358e+00	-3.9367e-01	1.5695e-01	-4.4737e-01	-5.7437e-01	-1.8802e+00	2.2879e-01	1.9923e-01	-2.2968e-01
9.7	1.2576e+00	4.4401e+00	-1.8921e-01	1.9538e-01	-4.7716e-01	-6.1727e-01	-1.9935e+00	1.3234e-01	1.8480e-01	-4.0602e-01
9.8	3.5149e-01	1.3061e+00	-2.3633e-02	1.0090e-01	-1.4049e-01	-1.6496e-01	-4.6128e-01	-1.0981e-01	1.4612e-01	-4.3829e-01
9.9	1.6951e-01	5.6988e-01	1.4768e-02	6.7567e-02	-5.6500e-02	-7.1890e-02	-1.7353e-01	1.2557e-02	1.1339e-01	-3.6015e-01
10.0	1.0371e-01	2.8995e-01	2.4209e-02	4.6109e-02	-2.0621e-02	-3.4786e-02	-6.5854e-02	6.5439e-02	7.3130e-02	-2.9243e-01
10.1	1.0241e-01	3.1329e-01	1.8607e-02	3.7580e-02	-1.0337e-02	-1.9117e-02	-1.5673e-02	3.3735e-01	6.4827e-02	1.4805e-01
10.2	5.9660e-02	1.5492e-01	3.2627e-02	2.7687e-02	1.3731e-02	1.2648e-02	7.9579e-02	5.6527e-01	5.4822e-02	4.3403e-01
10.3	5.8297e-02	1.4036e-01	4.3080e-02	2.4204e-02	2.5230e-02	2.7203e-02	1.2320e-01	5.0482e-01	6.1270e-02	7.1257e-01
10.4	7.3570e-02	1.6402e-01	6.4751e-02	2.6078e-02	3.5417e-02	3.8131e-02	1.6164e-01	3.4315e-01	5.6279e-02	8.2855e-01
10.5	8.2107e-02	1.7944e-01	8.0699e-02	2.6536e-02	4.1777e-02	4.7496e-02	1.9651e-01	6.3845e-01	7.0364e-02	1.1560e+00
10.6	8.2631e-02	1.8472e-01	1.1068e-01	2.6846e-02	2.8926e-02	4.2201e-02	1.7871e-01	2.4887e-01	8.5545e-02	1.3179e+00
10.7	4.8466e-01	5.6078e-01	9.7170e-02	2.9840e-01	2.9687e-02	7.5543e-02	8.4400e-01	3.3937e-01	7.7676e-02	1.8994e+00
10.8	5.1567e-01	5.0768e-01	8.2590e-02	2.8848e-01	3.5261e-02	6.1524e-02	1.0383e+00	4.9700e-01	1.2714e-01	2.7280e+00
10.9	8.3730e-02	1.7959e-01	7.7738e-02	2.7467e-02	2.5632e-02	3.1732e-02	2.4453e-01	3.9523e-01	4.5116e-01	4.4026e+00
11.0	2.4750e-01	6.3298e-01	2.7385e-02	2.7176e-02	1.0234e-02	1.6714e-02	9.1280e-02	5.7771e-01	9.6889e-01	5.3108e+00
