log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.0279e-01	1.7033e-01	7.9087e-02	3.6129e-03	6.4657e-02	5.8505e-02	5.3226e-01	8.1716e-02	5.6321e-02	2.6010e+00
6.1	2.2952e-01	1.6520e-01	7.3775e-02	3.9436e-03	6.1915e-02	5.6798e-02	5.4606e-01	7.5323e-02	5.2001e-02	2.4677e+00
6.2	2.7631e-01	1.6395e-01	7.2844e-02	8.2606e-03	5.9770e-02	5.6286e-02	5.5941e-01	7.1830e-02	5.0602e-02	2.3653e+00
6.3	3.1213e-01	1.7300e-01	7.6221e-02	2.1914e-02	6.6383e-02	5.5802e-02	6.8149e-01	9.1751e-02	5.3990e-02	2.1613e+00
6.4	3.2981e-01	2.1532e-01	1.2135e-01	6.7648e-02	7.8910e-02	5.3336e-02	6.9273e-01	2.3716e-01	9.7639e-02	1.6256e+00
6.5	2.7449e-01	1.9116e-01	1.2450e-01	4.9675e-02	8.4072e-02	5.2426e-02	6.6675e-01	2.4117e-01	1.1606e-01	1.5959e+00
6.6	1.9564e-01	2.0428e-01	1.0850e-01	4.7339e-02	1.1169e-01	6.2765e-02	7.0994e-01	1.9478e-01	1.0975e-01	1.7021e+00
6.7	9.7891e-02	2.2291e-01	1.0496e-01	5.8383e-02	1.5277e-01	8.5738e-02	7.8857e-01	1.2897e-01	9.4757e-02	1.7400e+00
6.8	4.9842e-02	2.4548e-01	1.1809e-01	7.3826e-02	1.8309e-01	1.0685e-01	8.4036e-01	1.4558e-01	9.8283e-02	1.6545e+00
6.9	6.3430e-02	2.4896e-01	1.3466e-01	6.1168e-02	1.6078e-01	1.1122e-01	8.8705e-01	2.0880e-01	9.6869e-02	1.5373e+00
7.0	5.8178e-02	2.8211e-01	1.6078e-01	6.7746e-02	1.4711e-01	1.3021e-01	1.1319e+00	2.7108e-01	1.0663e-01	1.3731e+00
7.1	8.9596e-02	3.0070e-01	1.8074e-01	5.4344e-02	1.0162e-01	1.2065e-01	1.1196e+00	3.1261e-01	1.2307e-01	1.2904e+00
7.2	1.0058e-01	3.1526e-01	2.1253e-01	5.1208e-02	8.0486e-02	1.1270e-01	8.4905e-01	2.9980e-01	1.3995e-01	1.2285e+00
7.3	1.1395e-01	3.6019e-01	2.5189e-01	6.0125e-02	7.9405e-02	1.1164e-01	6.6652e-01	2.9390e-01	1.6258e-01	1.1754e+00
7.4	1.3718e-01	3.9646e-01	2.8517e-01	7.0439e-02	8.0844e-02	1.0909e-01	5.4694e-01	2.9492e-01	1.7391e-01	1.1106e+00
7.5	1.4977e-01	4.1983e-01	1.8870e-01	5.5792e-02	9.6652e-02	9.1740e-02	4.2252e-01	3.3212e-01	1.4767e-01	8.8468e-01
7.6	1.6043e-01	4.1181e-01	1.0537e-01	5.0089e-02	1.0677e-01	7.5551e-02	3.6398e-01	3.8846e-01	1.2373e-01	6.6607e-01
7.7	1.6714e-01	3.7701e-01	1.0213e-01	6.1507e-02	9.9283e-02	6.4178e-02	3.3190e-01	4.0818e-01	1.2006e-01	5.6808e-01
7.8	1.7135e-01	3.4050e-01	1.1150e-01	7.4493e-02	8.5965e-02	5.3083e-02	2.9144e-01	4.3173e-01	1.1784e-01	4.5464e-01
7.9	1.8393e-01	2.8677e-01	1.2523e-01	9.1927e-02	6.9304e-02	3.7863e-02	2.3028e-01	4.7942e-01	1.1864e-01	2.7301e-01
8.0	1.8273e-01	2.5326e-01	1.3402e-01	1.0066e-01	5.3122e-02	2.5194e-02	1.8412e-01	5.0369e-01	1.1697e-01	1.8217e-01
8.1	1.8476e-01	2.4083e-01	1.4833e-01	1.1131e-01	3.5567e-02	1.2310e-02	1.3846e-01	5.2939e-01	1.2005e-01	1.0045e-01
8.2	1.9202e-01	2.3197e-01	1.7287e-01	1.2441e-01	1.5101e-02	-4.6440e-03	7.3029e-02	5.6109e-01	1.3068e-01	-1.2315e-02
8.3	2.0094e-01	2.6422e-01	1.7617e-01	1.3125e-01	-8.1318e-04	-1.8154e-02	2.4998e-02	5.6994e-01	1.3387e-01	-4.0943e-02
8.4	2.3218e-01	2.9667e-01	2.2653e-01	1.6560e-01	-3.2486e-02	-4.3310e-02	-5.8355e-02	6.2866e-01	1.6177e-01	-1.9579e-01
8.5	2.6554e-01	4.3419e-01	2.1008e-01	1.8050e-01	-5.1593e-02	-6.4964e-02	-1.1827e-01	6.3476e-01	1.6921e-01	-2.0685e-01
8.6	3.4240e-01	6.9043e-01	2.4138e-01	2.4539e-01	-9.6584e-02	-1.1010e-01	-2.3789e-01	7.0479e-01	2.1434e-01	-3.5377e-01
