log_age	F1370	F1400	F1425	F1460	UV_1501	F1533	F1550	UV_1719	F1853	F1978
6.0	2.6814e+00	5.6345e+00	3.9046e-01	1.9087e+00	1.7747e+00	3.9406e+00	7.6695e+00	2.1638e+00	7.4967e-01	1.0317e+00
6.1	2.1250e+00	5.7762e+00	5.9315e-01	2.0368e+00	2.0409e+00	3.1622e+00	8.4054e+00	2.2877e+00	9.9929e-01	1.0792e+00
6.2	1.9582e+00	5.8187e+00	6.3870e-01	2.0253e+00	2.1549e+00	2.9835e+00	8.7999e+00	2.2713e+00	1.0628e+00	1.0670e+00
6.3	1.7479e+00	5.8211e+00	9.5057e-01	2.0554e+00	2.0581e+00	2.4911e+00	9.3991e+00	2.1847e+00	1.0745e+00	2.5746e+00
6.4	1.4882e+00	6.0416e+00	1.2284e+00	1.8660e+00	1.8980e+00	2.0983e+00	8.8719e+00	2.0020e+00	1.2145e+00	4.3450e+00
6.5	1.2801e+00	6.4103e+00	1.6872e+00	1.6264e+00	1.8844e+00	1.8629e+00	8.2484e+00	2.1621e+00	1.6176e+00	2.4495e+00
6.6	1.1720e+00	6.3728e+00	2.0230e+00	1.7480e+00	1.8996e+00	1.6329e+00	8.4114e+00	2.7488e+00	1.9889e+00	1.8720e+00
6.7	1.0877e+00	7.0657e+00	2.2587e+00	1.7203e+00	1.6898e+00	1.5020e+00	8.0849e+00	2.8383e+00	1.8680e+00	2.7427e+00
6.8	1.0841e+00	7.6680e+00	2.3997e+00	1.6582e+00	1.3885e+00	1.3654e+00	7.6097e+00	3.3312e+00	1.8598e+00	3.4938e+00
6.9	1.2043e+00	7.6735e+00	2.1078e+00	5.9276e-01	8.1667e-01	1.0861e+00	5.5029e+00	3.3638e+00	1.8914e+00	3.3647e+00
7.0	1.4393e+00	7.4630e+00	1.7175e+00	-7.8313e-01	3.1519e-01	7.3913e-01	2.8953e+00	3.1667e+00	1.9963e+00	2.7546e+00
7.1	1.6432e+00	6.8674e+00	1.7834e+00	-8.3836e-01	2.6994e-01	6.4364e-01	2.2401e+00	3.3928e+00	2.2909e+00	2.5951e+00
7.2	1.7881e+00	6.1073e+00	1.8503e+00	-6.7391e-01	2.1565e-01	5.6454e-01	1.8643e+00	3.5546e+00	2.5305e+00	2.2980e+00
7.3	1.8521e+00	5.2914e+00	1.8995e+00	-4.1564e-01	1.3098e-01	4.9048e-01	1.6172e+00	3.6671e+00	2.6891e+00	1.8977e+00
7.4	1.8638e+00	4.4554e+00	1.9203e+00	-1.6379e-01	-1.3753e-02	4.1682e-01	1.4146e+00	3.7578e+00	2.7943e+00	1.3724e+00
7.5	1.8332e+00	3.5879e+00	1.8931e+00	8.0197e-02	-1.8687e-01	3.5227e-01	1.2509e+00	3.8005e+00	2.8569e+00	8.0239e-01
7.6	1.7978e+00	2.7851e+00	1.8364e+00	3.0108e-01	-3.9524e-01	3.0297e-01	1.1165e+00	3.8318e+00	2.9177e+00	1.8516e-01
7.7	1.7579e+00	2.0255e+00	1.7628e+00	6.1161e-01	-6.3612e-01	3.0407e-01	1.0879e+00	3.8636e+00	2.9750e+00	-4.9636e-01
7.8	1.7294e+00	1.4555e+00	1.6797e+00	1.0364e+00	-8.7632e-01	3.7711e-01	1.2102e+00	3.8967e+00	3.0154e+00	-1.1369e+00
7.9	1.7194e+00	9.9100e-01	1.5636e+00	1.5422e+00	-1.1005e+00	4.8773e-01	1.4254e+00	3.8808e+00	3.0312e+00	-1.5529e+00
8.0	1.7290e+00	7.1842e-01	1.4544e+00	2.0777e+00	-1.3226e+00	6.0428e-01	1.5377e+00	3.9032e+00	3.0725e+00	-2.1215e+00
8.1	1.8020e+00	5.4044e-01	1.2778e+00	2.7725e+00	-1.5368e+00	6.9092e-01	1.6720e+00	3.8586e+00	3.0911e+00	-2.4344e+00
8.2	1.9541e+00	4.7427e-01	1.0489e+00	3.6419e+00	-1.7288e+00	6.8647e-01	1.7579e+00	3.7914e+00	3.0761e+00	-2.6116e+00
8.3	2.1566e+00	7.2392e-01	8.2484e-01	4.4739e+00	-1.7903e+00	5.4192e-01	1.6637e+00	3.7553e+00	3.0792e+00	-2.5151e+00
8.4	2.4078e+00	1.2844e+00	6.8649e-01	4.9527e+00	-1.5556e+00	5.0501e-02	1.2931e+00	3.7827e+00	3.1186e+00	-2.0252e+00
8.5	2.4719e+00	1.6732e+00	6.5293e-01	4.9594e+00	-8.9657e-01	-8.7028e-01	8.1557e-01	3.8803e+00	3.2873e+00	-1.0941e+00
8.6	1.8893e+00	1.0890e+00	1.1502e+00	2.9030e+00	-1.8690e-01	-1.4427e+00	6.5816e-01	3.9503e+00	3.6362e+00	4.0905e-01
8.7	1.6590e+00	6.2972e-01	1.2885e+00	2.8651e+00	-1.0202e+00	-3.1416e-02	1.9462e+00	3.9431e+00	3.9593e+00	1.6957e+00
8.8	1.7660e+00	7.7079e-01	1.1147e+00	3.3233e+00	-1.3742e+00	3.9969e-01	1.9135e+00	4.0132e+00	4.2297e+00	2.9698e+00
8.9	1.8303e+00	1.2196e+00	9.7555e-01	3.8273e+00	-1.3169e+00	3.9128e-01	1.8520e+00	4.1262e+00	4.2272e+00	3.2186e+00
9.0	1.7760e+00	2.0021e+00	1.0735e+00	3.4779e+00	-9.2530e-01	3.5224e-01	2.0919e+00	4.1851e+00	4.2410e+00	3.8775e+00
9.1	1.5853e+00	2.4035e+00	1.1319e+00	2.6611e+00	-5.1371e-01	2.2580e-01	2.2111e+00	4.2186e+00	4.3775e+00	5.2342e+00
9.2	1.8358e+00	2.0302e+00	7.0423e-01	4.1091e+00	-9.3947e-01	-2.2372e-01	1.6206e+00	4.0032e+00	3.8258e+00	3.2182e+00
9.3	1.7794e+00	2.0748e+00	4.3456e-01	4.0911e+00	-6.5461e-01	-5.5764e-01	1.3229e+00	3.7278e+00	3.5600e+00	2.5671e+00
9.4	1.0002e+00	2.0114e+00	4.4296e-01	2.4846e+00	5.7707e-01	-1.4993e+00	1.1503e+00	3.8409e+00	3.5332e+00	2.5267e+00
9.5	6.1538e-01	1.8983e+00	8.3131e-01	6.8980e-01	4.1332e-01	5.0593e-01	2.2204e+00	3.1404e+00	3.6101e+00	5.4047e+00
9.6	6.7289e-01	1.6473e+00	7.0864e-01	3.7344e-01	1.3465e-01	6.7099e-01	1.7140e+00	2.5869e+00	3.1947e+00	6.3452e+00
9.7	5.9697e-01	1.1939e+00	6.6050e-01	3.9047e-01	1.0106e-01	7.0272e-01	1.4483e+00	1.9817e+00	2.3430e+00	5.3721e+00
9.8	3.0297e-01	4.2414e-01	2.2313e-01	3.1236e-01	-1.1880e-01	6.2782e-02	4.4655e-01	1.1231e+00	1.4336e+00	4.9111e+00
9.9	6.2644e-01	1.2431e+00	6.8565e-01	4.0467e-01	8.2692e-02	7.0456e-01	1.4836e+00	1.6228e+00	1.4177e+00	3.0423e+00
10.0	7.5317e-01	1.4696e+00	8.3709e-01	4.7452e-01	9.9207e-02	8.9015e-01	1.7659e+00	1.8524e+00	1.4914e+00	2.1690e+00
10.1	1.1611e+00	2.6224e+00	1.4518e+00	7.1538e-01	3.6205e-01	1.6038e+00	3.0776e+00	2.7410e+00	4.0140e+00	4.8737e+00
10.2	1.7226e+00	1.6794e+00	1.4560e+00	1.0946e+00	-8.8043e-01	3.3654e-01	8.6635e-01	3.6181e+00	2.8206e+00	-1.0673e+00
10.3	1.8384e+00	3.7580e+00	1.9133e+00	1.5886e+00	1.0014e-01	2.2126e+00	1.1120e+01	4.6212e+00	1.3071e+00	4.1192e+00
10.4	2.5864e+00	4.0618e+00	1.1901e+00	1.3867e+00	-5.4863e-01	1.5439e+00	1.0261e+01	4.2013e+00	1.4320e+00	2.3288e+00
10.5	2.5347e+00	4.1191e+00	1.1807e+00	1.2866e+00	-5.8551e-01	1.3774e+00	9.8196e+00	3.6549e+00	2.0715e+00	1.0601e+00
10.6	2.4357e+00	4.0736e+00	1.2389e+00	1.2899e+00	-5.0806e-01	1.7299e+00	1.0356e+01	4.9771e+00	1.6232e+00	2.5462e+00
10.7	2.1066e+00	3.1250e+00	2.3434e+00	2.6253e+00	1.9727e-01	2.1070e+00	9.8606e+00	2.9626e+00	1.6711e+00	3.2819e+00
10.8	2.1551e+00	3.3331e+00	2.4378e+00	2.7402e+00	3.2895e-01	2.1249e+00	9.9458e+00	2.8697e+00	1.6644e+00	3.5679e+00
10.9	2.0219e+00	3.2638e+00	2.5461e+00	2.8321e+00	5.0566e-01	2.2868e+00	9.8073e+00	3.1336e+00	1.6921e+00	4.0567e+00
11.0	2.3492e+00	3.2846e+00	2.1967e+00	2.7156e+00	1.0021e-01	2.0893e+00	9.7851e+00	3.3216e+00	1.5283e+00	3.4689e+00
